Series ID,Year,Period,Value
LNS14000000,2014,January,6.6
LNS14000000,2014,February,6.7
LNS14000000,2014,March,6.7
LNS14000000,2014,April,6.2
LNS14000000,2014,May,6.3
LNS14000000,2014,June,6.1
LNS14000000,2014,July,6.2
LNS14000000,2014,August,6.1
LNS14000000,2014,September,5.9
LNS14000000,2014,October,5.7
LNS14000000,2014,November,5.8
LNS14000000,2014,December,5.6
LNS14000000,2015,January,5.7
LNS14000000,2015,February,5.5
LNS14000000,2015,March,5.4
LNS14000000,2015,April,5.4
LNS14000000,2015,May,5.6
LNS14000000,2015,June,5.3
LNS14000000,2015,July,5.2
LNS14000000,2015,August,5.1
LNS14000000,2015,September,5.0
LNS14000000,2015,October,5.0
LNS14000000,2015,November,5.1
LNS14000000,2015,December,5.0
LNS14000000,2016,January,4.8
LNS14000000,2016,February,4.9
LNS14000000,2016,March,5.0
LNS14000000,2016,April,5.1
LNS14000000,2016,May,4.8
LNS14000000,2016,June,4.9
LNS14000000,2016,July,4.8
LNS14000000,2016,August,4.9
LNS14000000,2016,September,5.0
LNS14000000,2016,October,4.9
LNS14000000,2016,November,4.7
LNS14000000,2016,December,4.7
LNS14000000,2017,January,4.7
LNS14000000,2017,February,4.6
LNS14000000,2017,March,4.4
LNS14000000,2017,April,4.4
LNS14000000,2017,May,4.4
LNS14000000,2017,June,4.3
LNS14000000,2017,July,4.3
LNS14000000,2017,August,4.4
LNS14000000,2017,September,4.3
LNS14000000,2017,October,4.2
LNS14000000,2017,November,4.2
LNS14000000,2017,December,4.1
LNS14000000,2018,January,4.0
LNS14000000,2018,February,4.1
LNS14000000,2018,March,4.0
LNS14000000,2018,April,4.0
LNS14000000,2018,May,3.8
LNS14000000,2018,June,4.0
LNS14000000,2018,July,3.8
LNS14000000,2018,August,3.8
LNS14000000,2018,September,3.7
LNS14000000,2018,October,3.8
LNS14000000,2018,November,3.8
LNS14000000,2018,December,3.9
LNS14000000,2019,January,4.0
LNS14000000,2019,February,3.8
LNS14000000,2019,March,3.8
LNS14000000,2019,April,3.7
LNS14000000,2019,May,3.6
LNS14000000,2019,June,3.6
LNS14000000,2019,July,3.7
LNS14000000,2019,August,3.6
LNS14000000,2019,September,3.5
LNS14000000,2019,October,3.6
LNS14000000,2019,November,3.6
LNS14000000,2019,December,3.6
LNS14000000,2020,January,3.6
LNS14000000,2020,February,3.5
LNS14000000,2020,March,4.4
LNS14000000,2020,April,14.8
LNS14000000,2020,May,13.2
LNS14000000,2020,June,11.0
LNS14000000,2020,July,10.2
LNS14000000,2020,August,8.4
LNS14000000,2020,September,7.8
LNS14000000,2020,October,6.8
LNS14000000,2020,November,6.7
LNS14000000,2020,December,6.7
LNS14000000,2021,January,6.4
LNS14000000,2021,February,6.2
LNS14000000,2021,March,6.1
LNS14000000,2021,April,6.1
LNS14000000,2021,May,5.8
LNS14000000,2021,June,5.9
LNS14000000,2021,July,5.4
LNS14000000,2021,August,5.1
LNS14000000,2021,September,4.7
LNS14000000,2021,October,4.5
LNS14000000,2021,November,4.1
LNS14000000,2021,December,3.9
LNS14000000,2022,January,4.0
LNS14000000,2022,February,3.8
LNS14000000,2022,March,3.6
LNS14000000,2022,April,3.7
LNS14000000,2022,May,3.6
LNS14000000,2022,June,3.6
LNS14000000,2022,July,3.5
LNS14000000,2022,August,3.6
LNS14000000,2022,September,3.5
LNS14000000,2022,October,3.6
LNS14000000,2022,November,3.6
LNS14000000,2022,December,3.5
LNS14000000,2023,January,3.4
LNS14000000,2023,February,3.6
LNS14000000,2023,March,3.5
LNS14000000,2023,April,3.4
LNS14000000,2023,May,3.7
LNS14000000,2023,June,3.6
LNS14000000,2023,July,3.5
LNS14000000,2023,August,3.8
LNS14000000,2023,September,3.8
LNS14000000,2023,October,3.8
LNS14000000,2023,November,3.7
LNS14000000,2023,December,3.7
LNS14000000,2024,January,3.7
LNS14000000,2024,February,3.9
LNS14000000,2024,March,3.8
LNS14000000,2024,April,3.9
