Series ID,Year,Period,Value
LNS14000000,2009,1,7.8
LNS14000000,2009,2,8.3
LNS14000000,2009,3,8.7
LNS14000000,2009,4,9.0
LNS14000000,2009,5,9.4
LNS14000000,2009,6,9.5
LNS14000000,2009,7,9.5
LNS14000000,2009,8,9.6
LNS14000000,2009,9,9.8
LNS14000000,2009,10,10.0
LNS14000000,2009,11,9.9
LNS14000000,2009,12,9.9
LNS14000000,2010,1,9.8
LNS14000000,2010,2,9.8
LNS14000000,2010,3,9.9
LNS14000000,2010,4,9.9
LNS14000000,2010,5,9.6
LNS14000000,2010,6,9.4
LNS14000000,2010,7,9.4
LNS14000000,2010,8,9.5
LNS14000000,2010,9,9.5
LNS14000000,2010,10,9.4
LNS14000000,2010,11,9.8
LNS14000000,2010,12,9.3
LNS14000000,2011,1,9.1
LNS14000000,2011,2,9.0
LNS14000000,2011,3,9.0
LNS14000000,2011,4,9.1
LNS14000000,2011,5,9.0
LNS14000000,2011,6,9.1
LNS14000000,2011,7,9.0
LNS14000000,2011,8,9.0
LNS14000000,2011,9,9.0
LNS14000000,2011,10,8.8
LNS14000000,2011,11,8.6
LNS14000000,2011,12,8.5
LNS14000000,2012,1,8.3
LNS14000000,2012,2,8.3
LNS14000000,2012,3,8.2
LNS14000000,2012,4,8.2
LNS14000000,2012,5,8.2
LNS14000000,2012,6,8.2
LNS14000000,2012,7,8.2
LNS14000000,2012,8,8.1
LNS14000000,2012,9,7.8
LNS14000000,2012,10,7.8
LNS14000000,2012,11,7.7
LNS14000000,2012,12,7.9
LNS14000000,2013,1,8.0
LNS14000000,2013,2,7.7
LNS14000000,2013,3,7.5
LNS14000000,2013,4,7.6
LNS14000000,2013,5,7.5
LNS14000000,2013,6,7.5
LNS14000000,2013,7,7.3
LNS14000000,2013,8,7.2
LNS14000000,2013,9,7.2
LNS14000000,2013,10,7.2
LNS14000000,2013,11,6.9
LNS14000000,2013,12,6.7
LNS14000000,2014,1,6.6
LNS14000000,2014,2,6.7
LNS14000000,2014,3,6.7
LNS14000000,2014,4,6.2
LNS14000000,2014,5,6.3
LNS14000000,2014,6,6.1
LNS14000000,2014,7,6.2
LNS14000000,2014,8,6.1
LNS14000000,2014,9,5.9
LNS14000000,2014,10,5.7
LNS14000000,2014,11,5.8
LNS14000000,2014,12,5.6
LNS14000000,2015,1,5.7
LNS14000000,2015,2,5.5
LNS14000000,2015,3,5.4
LNS14000000,2015,4,5.4
LNS14000000,2015,5,5.6
LNS14000000,2015,6,5.3
LNS14000000,2015,7,5.2
LNS14000000,2015,8,5.1
LNS14000000,2015,9,5.0
LNS14000000,2015,10,5.0
LNS14000000,2015,11,5.1
LNS14000000,2015,12,5.0
LNS14000000,2016,1,4.8
LNS14000000,2016,2,4.9
LNS14000000,2016,3,5.0
LNS14000000,2016,4,5.1
LNS14000000,2016,5,4.8
LNS14000000,2016,6,4.9
LNS14000000,2016,7,4.8
LNS14000000,2016,8,4.9
LNS14000000,2016,9,5.0
LNS14000000,2016,10,4.9
LNS14000000,2016,11,4.7
LNS14000000,2016,12,4.7
LNS14000000,2017,1,4.7
LNS14000000,2017,2,4.6
LNS14000000,2017,3,4.4
LNS14000000,2017,4,4.4
LNS14000000,2017,5,4.4
LNS14000000,2017,6,4.3
LNS14000000,2017,7,4.3
LNS14000000,2017,8,4.4
LNS14000000,2017,9,4.3
LNS14000000,2017,10,4.2
LNS14000000,2017,11,4.2
LNS14000000,2017,12,4.1
LNS14000000,2018,1,4.0
LNS14000000,2018,2,4.1
LNS14000000,2018,3,4.0
LNS14000000,2018,4,4.0
LNS14000000,2018,5,3.8
LNS14000000,2018,6,4.0
LNS14000000,2018,7,3.8
LNS14000000,2018,8,3.8
LNS14000000,2018,9,3.7
LNS14000000,2018,10,3.8
LNS14000000,2018,11,3.8
LNS14000000,2018,12,3.9
LNS14000000,2019,1,4.0
LNS14000000,2019,2,3.8
LNS14000000,2019,3,3.8
LNS14000000,2019,4,3.7
LNS14000000,2019,5,3.6
LNS14000000,2019,6,3.6
LNS14000000,2019,7,3.7
LNS14000000,2019,8,3.6
LNS14000000,2019,9,3.5
LNS14000000,2019,10,3.6
LNS14000000,2019,11,3.6
LNS14000000,2019,12,3.6
LNS14000000,2020,1,3.6
LNS14000000,2020,2,3.5
LNS14000000,2020,3,4.4
LNS14000000,2020,4,14.8
LNS14000000,2020,5,13.2
LNS14000000,2020,6,11.0
LNS14000000,2020,7,10.2
LNS14000000,2020,8,8.4
LNS14000000,2020,9,7.8
LNS14000000,2020,10,6.8
LNS14000000,2020,11,6.7
LNS14000000,2020,12,6.7
LNS14000000,2021,1,6.4
LNS14000000,2021,2,6.2
LNS14000000,2021,3,6.1
LNS14000000,2021,4,6.1
LNS14000000,2021,5,5.8
LNS14000000,2021,6,5.9
LNS14000000,2021,7,5.4
LNS14000000,2021,8,5.1
LNS14000000,2021,9,4.7
LNS14000000,2021,10,4.5
LNS14000000,2021,11,4.1
LNS14000000,2021,12,3.9
LNS14000000,2022,1,4.0
LNS14000000,2022,2,3.8
LNS14000000,2022,3,3.6
LNS14000000,2022,4,3.7
LNS14000000,2022,5,3.6
LNS14000000,2022,6,3.6
LNS14000000,2022,7,3.5
LNS14000000,2022,8,3.6
LNS14000000,2022,9,3.5
LNS14000000,2022,10,3.6
LNS14000000,2022,11,3.6
