,Date,Inflation Rate
0,2000-01-01,2.7
1,2000-02-01,3.2
2,2000-03-01,3.8
3,2000-04-01,3.1
4,2000-05-01,3.2
5,2000-06-01,3.7
6,2000-07-01,3.7
7,2000-08-01,3.4
8,2000-09-01,3.5
9,2000-10-01,3.4
10,2000-11-01,3.4
11,2000-12-01,3.4
12,2001-01-01,3.7
13,2001-02-01,3.5
14,2001-03-01,2.9
15,2001-04-01,3.3
16,2001-05-01,3.6
17,2001-06-01,3.2
18,2001-07-01,2.7
19,2001-08-01,2.7
20,2001-09-01,2.6
21,2001-10-01,2.1
22,2001-11-01,1.9
23,2001-12-01,1.6
24,2002-01-01,1.1
25,2002-02-01,1.1
26,2002-03-01,1.5
27,2002-04-01,1.6
28,2002-05-01,1.2
29,2002-06-01,1.1
30,2002-07-01,1.5
31,2002-08-01,1.8
32,2002-09-01,1.5
33,2002-10-01,2.0
34,2002-11-01,2.2
35,2002-12-01,2.4
36,2003-01-01,2.6
37,2003-02-01,3.0
38,2003-03-01,3.0
39,2003-04-01,2.2
40,2003-05-01,2.1
41,2003-06-01,2.1
42,2003-07-01,2.1
43,2003-08-01,2.2
44,2003-09-01,2.3
45,2003-10-01,2.0
46,2003-11-01,1.8
47,2003-12-01,1.9
48,2004-01-01,1.9
49,2004-02-01,1.7
50,2004-03-01,1.7
51,2004-04-01,2.3
52,2004-05-01,3.1
53,2004-06-01,3.3
54,2004-07-01,3.0
55,2004-08-01,2.7
56,2004-09-01,2.5
57,2004-10-01,3.2
58,2004-11-01,3.5
59,2004-12-01,3.3
60,2005-01-01,3.0
61,2005-02-01,3.0
62,2005-03-01,3.1
63,2005-04-01,3.5
64,2005-05-01,2.8
65,2005-06-01,2.5
66,2005-07-01,3.2
67,2005-08-01,3.6
68,2005-09-01,4.7
69,2005-10-01,4.3
70,2005-11-01,3.5
71,2005-12-01,3.4
72,2006-01-01,4.0
73,2006-02-01,3.6
74,2006-03-01,3.4
75,2006-04-01,3.5
76,2006-05-01,4.2
77,2006-06-01,4.3
78,2006-07-01,4.1
79,2006-08-01,3.8
80,2006-09-01,2.1
81,2006-10-01,1.3
82,2006-11-01,2.0
83,2006-12-01,2.5
84,2007-01-01,2.1
85,2007-02-01,2.4
86,2007-03-01,2.8
87,2007-04-01,2.6
88,2007-05-01,2.7
89,2007-06-01,2.7
90,2007-07-01,2.4
91,2007-08-01,2.0
92,2007-09-01,2.8
93,2007-10-01,3.5
94,2007-11-01,4.3
95,2007-12-01,4.1
96,2008-01-01,4.3
97,2008-02-01,4.0
98,2008-03-01,4.0
99,2008-04-01,3.9
100,2008-05-01,4.2
101,2008-06-01,5.0
102,2008-07-01,5.6
103,2008-08-01,5.4
104,2008-09-01,4.9
105,2008-10-01,3.7
106,2008-11-01,1.1
107,2008-12-01,0.1
108,2009-01-01,0.0
109,2009-02-01,0.2
110,2009-03-01,-0.4
111,2009-04-01,-0.7
112,2009-05-01,-1.3
113,2009-06-01,-1.4
114,2009-07-01,-2.1
115,2009-08-01,-1.5
116,2009-09-01,-1.3
117,2009-10-01,-0.2
118,2009-11-01,1.8
119,2009-12-01,2.7
120,2010-01-01,2.6
121,2010-02-01,2.1
122,2010-03-01,2.3
123,2010-04-01,2.2
124,2010-05-01,2.0
125,2010-06-01,1.1
126,2010-07-01,1.2
127,2010-08-01,1.1
128,2010-09-01,1.1
129,2010-10-01,1.2
130,2010-11-01,1.1
131,2010-12-01,1.5
132,2011-01-01,1.6
133,2011-02-01,2.1
134,2011-03-01,2.7
135,2011-04-01,3.2
136,2011-05-01,3.6
137,2011-06-01,3.6
138,2011-07-01,3.6
139,2011-08-01,3.8
140,2011-09-01,3.9
141,2011-10-01,3.5
142,2011-11-01,3.4
143,2011-12-01,3.0
144,2012-01-01,2.9
145,2012-02-01,2.9
146,2012-03-01,2.7
147,2012-04-01,2.3
148,2012-05-01,1.7
149,2012-06-01,1.7
150,2012-07-01,1.4
151,2012-08-01,1.7
152,2012-09-01,2.0
153,2012-10-01,2.2
154,2012-11-01,1.8
155,2012-12-01,1.7
156,2013-01-01,1.6
157,2013-02-01,2.0
158,2013-03-01,1.5
159,2013-04-01,1.1
160,2013-05-01,1.4
161,2013-06-01,1.8
162,2013-07-01,2.0
163,2013-08-01,1.5
164,2013-09-01,1.2
165,2013-10-01,1.0
166,2013-11-01,1.2
167,2013-12-01,1.5
168,2014-01-01,1.6
169,2014-02-01,1.1
170,2014-03-01,1.5
171,2014-04-01,2.0
172,2014-05-01,2.1
173,2014-06-01,2.1
174,2014-07-01,2.0
175,2014-08-01,1.7
176,2014-09-01,1.7
177,2014-10-01,1.7
178,2014-11-01,1.3
179,2014-12-01,0.8
180,2015-01-01,-0.1
181,2015-02-01,0.0
182,2015-03-01,-0.1
183,2015-04-01,-0.2
184,2015-05-01,0.0
185,2015-06-01,0.1
186,2015-07-01,0.2
187,2015-08-01,0.2
188,2015-09-01,0.0
189,2015-10-01,0.2
