,DateTime,Adopt,Euth,RTO,Unintended,Other,TotalOutcomes
0,2013-10-01,6,7,11,0,5,29
1,2013-10-02,12,2,9,0,10,33
2,2013-10-03,7,0,6,0,5,18
3,2013-10-04,6,3,9,0,5,23
4,2013-10-05,22,2,6,0,8,38
5,2013-10-06,18,1,9,0,4,32
6,2013-10-07,14,2,6,0,8,30
7,2013-10-08,6,0,9,0,1,16
8,2013-10-09,11,2,3,0,5,21
9,2013-10-10,9,4,5,1,21,40
10,2013-10-11,10,2,5,0,16,33
11,2013-10-12,21,3,18,0,6,48
12,2013-10-13,35,0,4,0,4,43
13,2013-10-14,7,3,9,0,19,38
14,2013-10-15,11,5,10,0,24,50
15,2013-10-16,8,0,7,0,20,35
16,2013-10-17,11,1,6,0,1,19
17,2013-10-18,7,4,14,0,6,31
18,2013-10-19,17,0,2,0,3,22
19,2013-10-20,17,1,9,0,12,39
20,2013-10-21,14,1,9,0,8,32
21,2013-10-22,7,3,7,1,3,21
22,2013-10-23,6,0,6,0,7,19
23,2013-10-24,15,6,10,0,15,46
24,2013-10-25,4,2,7,1,8,22
25,2013-10-26,13,0,5,0,3,21
26,2013-10-27,14,1,6,0,4,25
27,2013-10-28,2,6,9,1,20,38
28,2013-10-29,12,3,5,0,11,31
29,2013-10-30,6,3,5,0,9,23
30,2013-10-31,17,3,7,0,1,28
31,2013-11-01,18,1,9,0,8,36
32,2013-11-02,18,0,5,0,5,28
33,2013-11-03,30,3,4,0,5,42
34,2013-11-04,11,3,8,0,20,42
35,2013-11-05,7,1,11,0,2,21
36,2013-11-06,3,1,7,0,6,17
37,2013-11-07,8,2,12,0,11,33
38,2013-11-08,4,2,9,0,12,27
39,2013-11-09,17,0,13,0,8,38
40,2013-11-10,24,4,5,0,3,36
41,2013-11-11,16,2,11,0,7,36
42,2013-11-12,6,1,7,0,1,15
43,2013-11-13,4,1,7,0,5,17
44,2013-11-14,8,1,4,0,3,16
45,2013-11-15,8,5,4,0,14,31
46,2013-11-16,11,3,13,0,8,35
47,2013-11-17,8,0,8,0,13,29
48,2013-11-18,5,0,3,0,1,9
49,2013-11-19,10,2,11,0,8,31
50,2013-11-20,4,1,7,0,7,19
51,2013-11-21,7,5,5,0,6,23
52,2013-11-22,7,2,8,0,6,23
53,2013-11-23,13,2,12,0,6,33
54,2013-11-24,9,1,7,0,4,21
55,2013-11-25,9,0,6,0,10,25
56,2013-11-26,5,5,5,0,9,24
57,2013-11-27,9,1,8,0,9,27
58,2013-11-28,5,1,2,0,2,10
59,2013-11-29,6,3,7,0,16,32
60,2013-11-30,34,0,4,0,11,49
61,2013-12-01,23,0,6,1,6,36
62,2013-12-02,7,4,13,1,3,28
63,2013-12-03,11,0,5,0,6,22
64,2013-12-04,12,2,3,0,8,25
65,2013-12-05,9,5,4,0,5,23
66,2013-12-06,9,5,4,0,17,35
67,2013-12-07,14,1,3,0,1,19
68,2013-12-08,16,1,4,1,6,28
69,2013-12-09,10,0,8,0,13,31
70,2013-12-10,8,1,5,0,5,19
71,2013-12-11,6,5,9,0,2,22
