STATION,NAME,DATE,TMAX,TMIN
USW00013958,"AUSTIN CAMP MABRY, TX US",10/21/13,81,59
USW00013958,"AUSTIN CAMP MABRY, TX US",10/22/13,77,54
USW00013958,"AUSTIN CAMP MABRY, TX US",10/23/13,82,54
USW00013958,"AUSTIN CAMP MABRY, TX US",10/24/13,82,53
USW00013958,"AUSTIN CAMP MABRY, TX US",10/25/13,79,54
USW00013958,"AUSTIN CAMP MABRY, TX US",10/26/13,81,62
USW00013958,"AUSTIN CAMP MABRY, TX US",10/27/13,75,64
USW00013958,"AUSTIN CAMP MABRY, TX US",10/28/13,82,66
USW00013958,"AUSTIN CAMP MABRY, TX US",10/29/13,84,71
USW00013958,"AUSTIN CAMP MABRY, TX US",10/30/13,84,72
USW00013958,"AUSTIN CAMP MABRY, TX US",10/31/13,82,54
USW00013958,"AUSTIN CAMP MABRY, TX US",11/1/13,84,51
USW00013958,"AUSTIN CAMP MABRY, TX US",11/2/13,75,49
USW00013958,"AUSTIN CAMP MABRY, TX US",11/3/13,69,46
USW00013958,"AUSTIN CAMP MABRY, TX US",11/4/13,67,60
USW00013958,"AUSTIN CAMP MABRY, TX US",11/5/13,80,66
USW00013958,"AUSTIN CAMP MABRY, TX US",11/6/13,72,52
USW00013958,"AUSTIN CAMP MABRY, TX US",11/7/13,65,42
USW00013958,"AUSTIN CAMP MABRY, TX US",11/8/13,66,50
USW00013958,"AUSTIN CAMP MABRY, TX US",11/9/13,70,54
USW00013958,"AUSTIN CAMP MABRY, TX US",11/10/13,71,60
USW00013958,"AUSTIN CAMP MABRY, TX US",11/11/13,77,53
USW00013958,"AUSTIN CAMP MABRY, TX US",11/12/13,61,44
USW00013958,"AUSTIN CAMP MABRY, TX US",11/13/13,57,34
USW00013958,"AUSTIN CAMP MABRY, TX US",11/14/13,63,33
USW00013958,"AUSTIN CAMP MABRY, TX US",11/15/13,78,51
USW00013958,"AUSTIN CAMP MABRY, TX US",11/16/13,81,63
USW00013958,"AUSTIN CAMP MABRY, TX US",11/17/13,90,67
USW00013958,"AUSTIN CAMP MABRY, TX US",11/18/13,80,62
USW00013958,"AUSTIN CAMP MABRY, TX US",11/19/13,72,57
USW00013958,"AUSTIN CAMP MABRY, TX US",11/20/13,71,59
USW00013958,"AUSTIN CAMP MABRY, TX US",11/21/13,81,67
USW00013958,"AUSTIN CAMP MABRY, TX US",11/22/13,74,36
USW00013958,"AUSTIN CAMP MABRY, TX US",11/23/13,43,36
USW00013958,"AUSTIN CAMP MABRY, TX US",11/24/13,43,35
USW00013958,"AUSTIN CAMP MABRY, TX US",11/25/13,40,35
USW00013958,"AUSTIN CAMP MABRY, TX US",11/26/13,54,38
USW00013958,"AUSTIN CAMP MABRY, TX US",11/27/13,52,33
USW00013958,"AUSTIN CAMP MABRY, TX US",11/28/13,57,32
USW00013958,"AUSTIN CAMP MABRY, TX US",11/29/13,63,34
USW00013958,"AUSTIN CAMP MABRY, TX US",11/30/13,67,51
