Series ID,Year,Period,Value
LAUMT481242000000003,2013,1,5.9
LAUMT481242000000003,2013,2,5.5
LAUMT481242000000003,2013,3,5.3
LAUMT481242000000003,2013,4,5.0
LAUMT481242000000003,2013,5,5.2
LAUMT481242000000003,2013,6,5.7
LAUMT481242000000003,2013,7,5.5
LAUMT481242000000003,2013,8,5.3
LAUMT481242000000003,2013,9,5.2
LAUMT481242000000003,2013,10,5.1
LAUMT481242000000003,2013,11,4.7
LAUMT481242000000003,2013,12,4.4
LAUMT481242000000003,2014,1,4.7
LAUMT481242000000003,2014,2,4.7
LAUMT481242000000003,2014,3,4.5
LAUMT481242000000003,2014,4,3.9
LAUMT481242000000003,2014,5,4.2
LAUMT481242000000003,2014,6,4.5
LAUMT481242000000003,2014,7,4.7
LAUMT481242000000003,2014,8,4.6
LAUMT481242000000003,2014,9,4.3
LAUMT481242000000003,2014,10,3.9
LAUMT481242000000003,2014,11,3.8
LAUMT481242000000003,2014,12,3.5
LAUMT481242000000003,2015,1,3.9
LAUMT481242000000003,2015,2,3.6
LAUMT481242000000003,2015,3,3.4
LAUMT481242000000003,2015,4,3.1
LAUMT481242000000003,2015,5,3.3
LAUMT481242000000003,2015,6,3.6
LAUMT481242000000003,2015,7,3.7
LAUMT481242000000003,2015,8,3.4
LAUMT481242000000003,2015,9,3.4
LAUMT481242000000003,2015,10,3.3
LAUMT481242000000003,2015,11,3.2
LAUMT481242000000003,2015,12,3.0
LAUMT481242000000003,2016,1,3.3
LAUMT481242000000003,2016,2,3.2
LAUMT481242000000003,2016,3,3.2
LAUMT481242000000003,2016,4,2.9
LAUMT481242000000003,2016,5,2.9
LAUMT481242000000003,2016,6,3.5
LAUMT481242000000003,2016,7,3.6
LAUMT481242000000003,2016,8,3.5
LAUMT481242000000003,2016,9,3.5
LAUMT481242000000003,2016,10,3.3
LAUMT481242000000003,2016,11,3.2
LAUMT481242000000003,2016,12,3.2
LAUMT481242000000003,2017,1,3.6
LAUMT481242000000003,2017,2,3.6
LAUMT481242000000003,2017,3,3.4
LAUMT481242000000003,2017,4,3.0
LAUMT481242000000003,2017,5,3.0
LAUMT481242000000003,2017,6,3.3
LAUMT481242000000003,2017,7,3.3
LAUMT481242000000003,2017,8,3.3
LAUMT481242000000003,2017,9,3.0
LAUMT481242000000003,2017,10,2.8
LAUMT481242000000003,2017,11,2.9
LAUMT481242000000003,2017,12,2.8
LAUMT481242000000003,2018,1,3.1
LAUMT481242000000003,2018,2,3.1
LAUMT481242000000003,2018,3,3.1
LAUMT481242000000003,2018,4,2.7
LAUMT481242000000003,2018,5,2.7
LAUMT481242000000003,2018,6,3.3
LAUMT481242000000003,2018,7,3.2
LAUMT481242000000003,2018,8,3.1
LAUMT481242000000003,2018,9,3.0
LAUMT481242000000003,2018,10,2.8
LAUMT481242000000003,2018,11,2.8
LAUMT481242000000003,2018,12,2.8
LAUMT481242000000003,2019,1,3.3
LAUMT481242000000003,2019,2,3.0
LAUMT481242000000003,2019,3,2.7
LAUMT481242000000003,2019,4,2.3
LAUMT481242000000003,2019,5,2.4
LAUMT481242000000003,2019,6,2.9
LAUMT481242000000003,2019,7,3.0
LAUMT481242000000003,2019,8,2.9
LAUMT481242000000003,2019,9,2.7
LAUMT481242000000003,2019,10,2.6
LAUMT481242000000003,2019,11,2.5
LAUMT481242000000003,2019,12,2.4
LAUMT481242000000003,2020,1,2.7
LAUMT481242000000003,2020,2,2.6
LAUMT481242000000003,2020,3,4.1
LAUMT481242000000003,2020,4,11.4
LAUMT481242000000003,2020,5,10.4
LAUMT481242000000003,2020,6,8.7
LAUMT481242000000003,2020,7,7.9
LAUMT481242000000003,2020,8,6.3
LAUMT481242000000003,2020,9,6.0
LAUMT481242000000003,2020,10,5.1
LAUMT481242000000003,2020,11,5.0
LAUMT481242000000003,2020,12,4.9
LAUMT481242000000003,2021,1,5.2
LAUMT481242000000003,2021,2,5.1
LAUMT481242000000003,2021,3,4.8
LAUMT481242000000003,2021,4,4.2
LAUMT481242000000003,2021,5,4.1
LAUMT481242000000003,2021,6,4.5
LAUMT481242000000003,2021,7,4.1
LAUMT481242000000003,2021,8,3.9
LAUMT481242000000003,2021,9,3.7
LAUMT481242000000003,2021,10,3.5
LAUMT481242000000003,2021,11,3.2
LAUMT481242000000003,2021,12,2.9
LAUMT481242000000003,2022,1,3.4
LAUMT481242000000003,2022,2,3.2
LAUMT481242000000003,2022,3,2.8
LAUMT481242000000003,2022,4,2.6
LAUMT481242000000003,2022,5,2.7
LAUMT481242000000003,2022,6,3.1
LAUMT481242000000003,2022,7,3.0
LAUMT481242000000003,2022,8,3.0
LAUMT481242000000003,2022,9,2.9
LAUMT481242000000003,2022,10,2.9
LAUMT481242000000003,2022,11,2.9
LAUMT481242000000003,2022,12,2.8
LAUMT481242000000003,2023,1,3.3
LAUMT481242000000003,2023,2,3.5
LAUMT481242000000003,2023,3,3.3
LAUMT481242000000003,2023,4,2.9
LAUMT481242000000003,2023,5,3.3
LAUMT481242000000003,2023,6,3.5
LAUMT481242000000003,2023,7,3.6
LAUMT481242000000003,2023,8,3.6
LAUMT481242000000003,2023,9,3.5
LAUMT481242000000003,2023,10,3.3
LAUMT481242000000003,2023,11,3.0
LAUMT481242000000003,2023,12,3.0
LAUMT481242000000003,2024,1,3.4
LAUMT481242000000003,2024,2,3.7
LAUMT481242000000003,2024,3,3.5
