STATION,NAME,DATE,TMAX,TMIN
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",11/28/09,60,27
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",11/29/09,55,44
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",11/30/09,44,27
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/1/09,54,30
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/2/09,44,32
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/3/09,38,27
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/4/09,33,17
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/5/09,33,13
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/6/09,34,14
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/7/09,35,28
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/8/09,43,33
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/9/09,52,19
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/10/09,21,13
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/11/09,36,17
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/12/09,42,16
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/13/09,41,34
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/14/09,55,38
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/15/09,40,18
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/16/09,34,13
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/17/09,41,19
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/18/09,44,27
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/19/09,34,29
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/20/09,32,29
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/21/09,32,28
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/22/09,40,31
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/23/09,43,36
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/24/09,49,38
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/25/09,49,29
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/26/09,34,24
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/27/09,31,19
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/28/09,31,17
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/29/09,31,10
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",12/30/09,37,24
