IntakeType,IntakeSubtype,Number of Animals,YEAR,MONTH,ObjectId
CONFISCATE,NEGLECT,10,2005,10,1
CONFISCATE,NEGLECT,14,2007,1,2
STRAY,FIELD,1,2002,2,3
CONFISCATE,POLICE,1,2005,10,4
EUTH REQ,FIELD OWN,4,2007,1,5
EUTH REQ,OTC OWNED,47,2007,1,6
EUTH REQ,FIELD OWN,5,2005,10,7
OWNER SUR,OTC,1,2003,7,8
OUTSURGERY,,31,2007,1,9
EUTH REQ,OTC OWNED,31,2005,10,10
CONFISCATE,CRUELTY,1,2004,11,11
OWNER SUR,FIELD,33,2007,1,12
KHS,STRAY,78,2005,10,13
CONFISCATE,CRUELTY,1,2004,12,14
OWNER SUR,OTC,224,2007,1,15
OWNER SUR,FIELD,24,2005,10,16
STRAY,OTC,1,2004,12,17
QUARANTINE,MAS,2,2007,1,18
OWNER SUR,OTC,107,2005,10,19
CONFISCATE,CRUELTY,2,2005,1,20
QUARANTINE,OWNER,4,2007,1,21
RETURN,OTC,1,2005,10,22
STRAY,OTC,1,2005,1,23
QUARANTINE,STRAY,5,2007,1,24
STRAY,FIELD,308,2005,10,25
CONFISCATE,CRUELTY,2,2005,2,26
STRAY,FIELD,302,2007,1,27
STRAY,OTC,311,2005,10,28
CONFISCATE,HOSPITAL,1,2005,2,29
STRAY,OTC,311,2007,1,30
CONFISCATE,ABANDONED,1,2005,11,31
OWNER SUR,OTC,1,2005,2,32
CONFISCATE,ABANDONED,1,2007,2,33
CONFISCATE,BITE,2,2005,11,34
STRAY,FIELD,1,2005,2,35
CONFISCATE,DANGER DOG,1,2007,2,36
CONFISCATE,CRUELTY,15,2005,11,37
STRAY,OTC,10,2005,2,38
CONFISCATE,NEGLECT,8,2007,2,39
CONFISCATE,HOSPITAL,1,2005,11,40
CONFISCATE,BITE,6,2005,3,41
CONFISCATE,POTDANGER,1,2007,2,42
CONFISCATE,NEGLECT,21,2005,11,43
CONFISCATE,CRUELTY,21,2005,3,44
