Number_of_Animals,YEAR,MONTH,OutcomeType,OutcomeSubtype,OBJECTID
1,1950,12,EUTH,BREED,0
1,1960,5,EUTH,SPACE,1
1,1970,4,EUTH,BREED,2
1,1970,11,RELEASED,,3
1,2002,7,EUTH,TIME,4
1,2002,10,ADOPTION,,5
1,2003,3,DIED,IN KENNEL,6
1,2003,3,EUTH,MEDICAL,7
1,2003,7,EUTH,REQUESTED,8
1,2004,6,MISSING,,9
1,2005,1,DIED,IN KENNEL,10
1,2005,1,EUTH,BEHAV OBSV,11
1,2005,1,EUTH,TIME/SPACE,12
1,2005,2,RTO,,13
2,2005,3,,,14
9,2005,3,ADOPTION,,15
4,2005,3,ADOPTION,NEW,16
19,2005,3,ADOPTION,RESCUE GRP,17
1,2005,3,DIED,ENROUTE,18
2,2005,3,DIED,IN KENNEL,19
11,2005,3,EUTH,,20
6,2005,3,EUTH,BEHAV HIST,21
22,2005,3,EUTH,BEHAV OBSV,22
61,2005,3,EUTH,BREED,23
1,2005,3,EUTH,CONTAG DIS,24
14,2005,3,EUTH,FERAL,25
39,2005,3,EUTH,MEDICAL,26
54,2005,3,EUTH,SPACE,27
2,2005,3,EUTH,TIME,28
2,2005,3,EUTH,TIME/SPACE,29
8,2005,3,EUTH,TOO OLD,30
2,2005,3,EUTH,TOO YOUNG,31
1,2005,3,MISSING,IN KENNEL,32
4,2005,3,RELOCATE,,33
63,2005,3,RTO,,34
2,2005,3,TRANSFER,,35
15,2005,4,ADOPTION,,36
4,2005,4,ADOPTION,NEW,37
61,2005,4,ADOPTION,RESCUE GRP,38
2,2005,4,DIED,,39
1,2005,4,DIED,ENROUTE,40
4,2005,4,DIED,IN KENNEL,41
1,2005,4,EUTH,,42
15,2005,4,EUTH,BEHAV HIST,43
26,2005,4,EUTH,BEHAV OBSV,44
110,2005,4,EUTH,BREED,45
1,2005,4,EUTH,CONTAG DIS,46
8,2005,4,EUTH,FERAL,47
1,2005,4,EUTH,HEARTWORM,48
67,2005,4,EUTH,MEDICAL,49
2,2005,4,EUTH,PREGNANT,50
255,2005,4,EUTH,SPACE,51
9,2005,4,EUTH,TIME,52
4,2005,4,EUTH,TIME/SPACE,53
15,2005,4,EUTH,TOO OLD,54
3,2005,4,EUTH,TOO YOUNG,55
1,2005,4,LOST EXP,,56
2,2005,4,MISSING,IN KENNEL,57
4,2005,4,RELOCATE,,58
110,2005,4,RTO,,59
27,2005,5,ADOPTION,,60
3,2005,5,ADOPTION,NEW,61
54,2005,5,ADOPTION,RESCUE GRP,62
2,2005,5,DIED,,63
6,2005,5,DIED,IN KENNEL,64
9,2005,5,EUTH,,65
