,intake_date,stray_abandoned,euthanasia,public_assist,owner_surrender,other,TotalIntakes
0,2013-08-22,0,0,0,0,0,0
1,2013-08-31,1,0,0,0,0,1
2,2013-09-19,1,0,0,0,0,1
3,2013-10-01,0,0,0,1,0,0
4,2013-10-08,1,0,0,0,0,1
5,2013-10-09,1,0,0,0,0,1
6,2013-10-30,1,0,0,0,0,1
7,2013-11-02,1,0,0,0,0,1
8,2013-11-12,0,0,0,0,0,0
9,2013-11-16,0,0,0,1,1,0
10,2013-11-21,0,0,0,1,0,0
11,2013-12-02,0,0,0,0,0,0
12,2013-12-03,1,0,0,0,0,1
13,2013-12-04,1,0,0,1,0,1
14,2013-12-05,1,0,0,0,0,1
15,2013-12-06,0,0,0,1,0,0
16,2013-12-07,1,0,0,1,0,1
17,2013-12-09,0,0,0,0,0,0
18,2013-12-10,1,0,0,1,0,1
19,2013-12-11,4,0,0,0,0,4
20,2013-12-12,2,0,1,0,0,2
21,2013-12-13,0,0,0,2,0,0
22,2013-12-14,1,0,0,0,0,1
23,2013-12-15,1,0,0,0,0,1
24,2013-12-16,1,0,0,0,0,1
25,2013-12-17,2,0,0,1,0,2
26,2013-12-18,1,0,0,0,0,1
27,2013-12-20,3,0,0,3,2,3
28,2013-12-21,3,0,0,0,1,3
29,2013-12-23,3,0,1,0,0,3
30,2013-12-24,3,0,0,0,0,3
31,2013-12-26,3,0,0,3,0,3
32,2013-12-28,6,0,0,2,2,6
33,2013-12-29,2,0,0,0,1,2
34,2013-12-31,6,0,2,1,0,6
35,2014-01-01,1,0,0,0,0,1
36,2014-01-02,6,0,0,4,1,6
37,2014-01-03,2,0,0,2,0,2
38,2014-01-04,4,0,2,2,1,4
39,2014-01-05,2,0,0,0,0,2
40,2014-01-06,0,0,0,0,0,0
41,2014-01-07,2,0,0,0,0,2
42,2014-01-08,2,0,0,0,0,2
43,2014-01-09,3,0,6,0,1,3
44,2014-01-10,3,0,0,0,1,3
45,2014-01-11,3,0,0,2,0,3
46,2014-01-12,1,0,1,0,0,1
47,2014-01-13,1,0,0,0,0,1
48,2014-01-14,4,0,0,0,1,4
49,2014-01-15,5,0,1,0,0,5
50,2014-01-16,5,0,0,0,1,5
51,2014-01-17,1,0,0,1,0,1
52,2014-01-18,2,0,2,1,0,2
53,2014-01-19,2,0,0,0,0,2
54,2014-01-20,5,0,0,0,3,5
55,2014-01-21,3,0,0,1,1,3
56,2014-01-22,2,0,1,0,0,2
57,2014-01-23,1,0,0,3,0,1
58,2014-01-24,7,0,0,0,0,7
59,2014-01-25,1,0,0,2,1,1
60,2014-01-27,0,0,2,0,0,0
61,2014-01-28,6,0,1,3,0,6
62,2014-01-29,3,0,0,0,1,3
63,2014-01-30,4,0,0,1,1,4
64,2014-01-31,3,0,0,0,1,3
65,2014-02-01,1,0,0,0,0,1
66,2014-02-03,4,0,0,0,0,4
67,2014-02-04,4,0,0,3,0,4
68,2014-02-05,1,0,1,1,0,1
69,2014-02-06,3,0,1,1,0,3
70,2014-02-07,3,0,0,0,0,3
71,2014-02-09,2,0,1,0,0,2
72,2014-02-10,0,0,0,0,1,0
73,2014-02-11,6,0,0,1,0,6
74,2014-02-13,5,0,1,0,0,5
75,2014-02-14,4,0,1,1,0,4
76,2014-02-15,4,0,1,1,0,4
77,2014-02-16,0,0,1,0,0,0
78,2014-02-17,0,0,1,0,0,0
79,2014-02-18,4,0,0,2,1,4
80,2014-02-19,2,0,0,1,0,2
81,2014-02-20,3,0,0,0,0,3
82,2014-02-21,6,0,1,4,0,6
83,2014-02-22,2,0,0,1,0,2
84,2014-02-23,0,0,0,0,0,0
85,2014-02-24,3,0,1,0,0,3
86,2014-02-25,6,0,0,1,0,6
87,2014-02-26,2,0,1,1,1,2
88,2014-02-27,4,0,0,1,0,4
89,2014-02-28,2,0,3,1,0,2
90,2014-03-01,2,0,0,0,0,2
91,2014-03-02,0,0,0,1,0,0
92,2014-03-03,0,0,1,0,0,0
93,2014-03-04,2,0,0,3,0,2
94,2014-03-05,2,0,0,0,0,2
95,2014-03-06,6,0,0,0,0,6
96,2014-03-07,5,0,0,0,1,5
97,2014-03-08,1,0,0,1,0,1
98,2014-03-09,1,0,0,0,0,1
99,2014-03-10,3,0,0,0,0,3
100,2014-03-11,7,0,0,4,0,7
101,2014-03-12,2,0,1,0,0,2
102,2014-03-13,1,0,1,2,1,1
103,2014-03-14,2,0,0,1,0,2
104,2014-03-15,2,0,0,1,0,2
105,2014-03-16,1,0,0,0,0,1
106,2014-03-17,2,0,0,0,0,2
107,2014-03-18,5,0,0,1,0,5
108,2014-03-19,1,0,0,1,0,1
109,2014-03-20,4,0,1,2,0,4
110,2014-03-21,0,0,0,0,1,0
111,2014-03-22,3,0,0,1,0,3
112,2014-03-23,1,0,0,0,1,1
113,2014-03-24,3,0,0,0,0,3
114,2014-03-25,3,0,1,0,0,3
115,2014-03-26,2,0,0,1,1,2
116,2014-03-27,2,0,0,0,0,2
117,2014-03-28,1,0,0,2,0,1
118,2014-03-29,2,0,0,1,1,2
119,2014-03-30,0,0,1,0,0,0
120,2014-03-31,3,0,0,0,0,3
121,2014-04-01,7,0,0,1,0,7
122,2014-04-02,4,0,0,0,1,4
123,2014-04-03,3,0,0,1,0,3
124,2014-04-04,2,0,1,1,0,2
125,2014-04-05,6,0,0,1,1,6
126,2014-04-06,1,0,0,0,0,1
127,2014-04-07,4,0,2,0,0,4
128,2014-04-08,8,0,2,2,1,8
129,2014-04-09,1,0,1,0,0,1
130,2014-04-10,1,0,3,2,1,1
131,2014-04-11,5,0,1,0,0,5
132,2014-04-12,3,0,0,2,2,3
133,2014-04-13,2,0,0,0,0,2
134,2014-04-14,1,0,1,0,0,1
135,2014-04-15,1,0,1,0,0,1
136,2014-04-16,1,0,1,1,0,1
137,2014-04-17,1,0,1,1,0,1
138,2014-04-18,3,0,0,1,0,3
139,2014-04-19,3,0,0,1,1,3
140,2014-04-21,5,0,1,0,3,5
141,2014-04-22,4,0,0,6,1,4
142,2014-04-23,1,0,0,5,0,1
143,2014-04-24,5,0,0,0,0,5
144,2014-04-25,7,0,0,1,0,7
145,2014-04-26,6,0,1,1,0,6
146,2014-04-28,1,0,0,0,0,1
147,2014-04-29,4,0,1,3,0,4
148,2014-04-30,4,0,0,3,1,4
149,2014-05-01,4,0,1,0,0,4
150,2014-05-02,5,0,0,1,1,5
151,2014-05-03,1,0,0,0,0,1
152,2014-05-04,1,0,1,0,0,1
153,2014-05-05,4,0,2,0,0,4
154,2014-05-06,2,0,0,1,1,2
155,2014-05-07,2,0,0,2,0,2
156,2014-05-08,5,0,0,1,1,5
157,2014-05-09,2,0,0,0,1,2
158,2014-05-10,3,0,2,0,0,3
159,2014-05-11,0,0,0,0,0,0
160,2014-05-12,1,0,1,0,0,1
161,2014-05-13,1,0,0,2,2,1
162,2014-05-14,3,0,0,2,2,3
163,2014-05-15,3,0,0,1,0,3
164,2014-05-16,6,0,1,1,0,6
165,2014-05-17,4,0,2,0,2,4
166,2014-05-19,1,0,0,0,0,1
167,2014-05-20,5,0,2,1,0,5
168,2014-05-21,3,0,0,4,2,3
169,2014-05-22,6,0,0,1,1,6
170,2014-05-23,3,0,1,3,1,3
171,2014-05-24,3,0,0,1,0,3
172,2014-05-26,1,0,1,0,0,1
173,2014-05-27,10,0,0,1,1,10
174,2014-05-28,2,0,0,2,1,2
175,2014-05-29,3,0,2,1,1,3
176,2014-05-30,1,0,0,0,0,1
177,2014-05-31,3,0,0,3,1,3
178,2014-06-01,0,0,2,0,0,0
