,outcome_date,adoption,euthanised,return_to_owner,unintended,other,TotalOutcomes
0,2014-01-01,0,6,0,0,0,3
1,2014-01-02,4,0,6,0,0,7
2,2014-01-03,5,0,3,2,0,7
3,2014-01-04,3,0,4,0,0,5
4,2014-01-05,0,2,0,0,0,2
5,2014-01-06,1,0,0,0,1,1
6,2014-01-07,1,0,4,0,0,3
7,2014-01-08,0,4,3,0,0,5
8,2014-01-09,2,5,2,0,1,6
9,2014-01-10,3,0,4,0,0,3
10,2014-01-11,2,0,3,0,1,2
11,2014-01-14,2,1,5,0,0,5
12,2014-01-15,0,0,6,0,0,4
13,2014-01-16,2,0,2,0,0,2
14,2014-01-17,0,0,4,0,0,4
15,2014-01-18,4,3,3,0,1,7
16,2014-01-21,0,0,2,0,3,4
17,2014-01-22,1,0,5,0,0,3
18,2014-01-23,1,2,2,0,0,4
19,2014-01-24,0,0,6,0,0,4
20,2014-01-25,4,0,1,0,1,3
21,2014-01-27,0,1,0,0,0,0
22,2014-01-28,3,0,1,0,1,4
23,2014-01-29,2,3,5,0,0,4
24,2014-01-30,0,0,2,0,1,3
25,2014-01-31,1,1,3,0,2,3
26,2014-02-01,5,2,2,0,3,7
27,2014-02-04,5,4,2,0,0,6
28,2014-02-05,2,1,2,0,0,2
29,2014-02-06,1,1,2,0,0,1
30,2014-02-07,1,1,4,0,0,2
31,2014-02-08,0,0,3,0,0,3
32,2014-02-09,0,0,0,0,1,1
33,2014-02-10,0,1,0,0,0,0
34,2014-02-11,3,2,2,0,1,4
35,2014-02-13,2,0,6,0,1,7
36,2014-02-14,0,0,4,0,0,3
37,2014-02-15,5,0,1,0,1,4
38,2014-02-18,2,0,2,0,0,1
39,2014-02-19,1,1,2,0,0,2
40,2014-02-20,4,1,5,0,0,4
41,2014-02-21,4,0,3,0,0,6
42,2014-02-22,3,0,3,0,0,4
43,2014-02-25,1,0,7,0,0,5
44,2014-02-26,6,0,2,0,0,4
45,2014-02-27,3,1,3,0,0,4
46,2014-02-28,2,0,3,0,0,3
47,2014-03-01,4,0,1,0,0,2
48,2014-03-04,5,0,6,0,0,5
49,2014-03-05,3,0,0,0,0,1
50,2014-03-06,1,2,0,0,0,2
51,2014-03-07,2,0,2,0,1,3
52,2014-03-08,3,0,0,0,0,1
53,2014-03-11,2,0,2,0,0,2
54,2014-03-12,3,3,4,0,0,7
55,2014-03-13,3,0,0,0,0,1
56,2014-03-14,0,0,4,0,4,4
57,2014-03-15,3,0,0,0,1,3
58,2014-03-18,4,1,4,0,0,5
59,2014-03-19,3,2,1,0,0,4
60,2014-03-20,1,0,5,0,0,4
61,2014-03-21,0,0,5,0,0,1
62,2014-03-22,5,0,1,0,0,5
63,2014-03-23,0,0,0,1,0,1
64,2014-03-24,0,1,1,0,0,2
65,2014-03-25,3,1,2,0,0,4
66,2014-03-26,2,3,4,0,0,7
67,2014-03-27,2,0,2,0,0,2
68,2014-03-28,2,0,2,0,0,2
69,2014-03-29,3,0,2,0,0,2
70,2014-03-30,0,2,0,1,0,1
71,2014-04-01,2,0,7,0,0,5
72,2014-04-02,2,0,2,0,0,3
73,2014-04-03,3,0,2,0,0,2
74,2014-04-04,1,1,2,0,0,2
75,2014-04-05,5,0,1,0,0,4
76,2014-04-06,0,0,0,0,1,0
77,2014-04-07,0,2,0,0,0,1
78,2014-04-08,0,0,8,0,0,5
79,2014-04-09,0,0,6,0,0,3
80,2014-04-10,1,0,5,0,2,2
81,2014-04-11,2,0,0,0,0,1
82,2014-04-12,3,0,7,0,0,8
83,2014-04-14,0,2,0,0,0,1
84,2014-04-15,1,0,5,0,0,4
85,2014-04-16,1,0,2,0,0,1
86,2014-04-17,0,1,2,0,0,1
87,2014-04-18,1,0,1,0,1,2
88,2014-04-19,4,0,2,0,0,4
89,2014-04-21,0,3,0,0,0,1
90,2014-04-22,2,0,2,0,0,3
91,2014-04-23,3,5,3,0,0,2
92,2014-04-24,1,0,1,0,0,2
93,2014-04-25,3,0,2,0,0,4
94,2014-04-26,3,0,4,0,0,5
95,2014-04-27,2,0,0,0,0,1
96,2014-04-28,0,4,2,0,1,4
97,2014-04-29,1,0,6,0,0,5
98,2014-04-30,1,4,3,0,0,5
99,2014-05-01,1,0,2,0,0,2
100,2014-05-02,1,0,1,0,5,5
101,2014-05-03,6,0,4,0,0,7
102,2014-05-04,1,2,0,0,0,2
103,2014-05-05,0,0,2,0,0,1
104,2014-05-06,0,0,5,0,0,2
105,2014-05-07,0,1,3,0,1,1
106,2014-05-08,2,0,0,0,0,1
107,2014-05-09,4,3,1,0,0,6
108,2014-05-10,4,0,3,0,0,5
109,2014-05-13,2,0,0,0,0,2
110,2014-05-14,4,0,1,0,0,3
111,2014-05-15,0,1,3,0,1,4
112,2014-05-16,1,1,4,0,0,4
113,2014-05-17,4,0,2,0,1,4
114,2014-05-19,0,0,1,0,0,1
115,2014-05-20,3,0,5,0,0,5
116,2014-05-21,1,0,0,0,0,0
117,2014-05-22,3,0,4,0,1,7
118,2014-05-23,2,6,1,0,4,5
119,2014-05-24,5,0,6,0,2,8
120,2014-05-27,1,2,5,0,0,4
121,2014-05-28,4,1,6,0,0,10
122,2014-05-29,4,0,1,0,0,4
123,2014-05-30,1,0,2,0,0,2
124,2014-05-31,2,0,3,0,0,3
125,2014-06-01,0,1,0,0,0,0
126,2014-06-02,0,0,1,0,1,1
127,2014-06-03,2,2,5,0,0,5
128,2014-06-04,2,2,2,0,0,4
129,2014-06-05,0,0,1,0,2,1
130,2014-06-06,2,2,1,0,0,2
131,2014-06-07,5,0,2,0,0,3
132,2014-06-08,0,0,0,0,1,1
133,2014-06-09,0,1,0,0,0,1
134,2014-06-10,3,0,5,0,0,4
135,2014-06-11,3,1,5,0,0,0
136,2014-06-12,4,1,4,0,4,9
137,2014-06-13,0,0,3,0,2,3
138,2014-06-14,6,0,6,1,0,4
139,2014-06-17,1,0,4,0,1,3
140,2014-06-18,2,4,3,0,0,6
141,2014-06-19,2,0,2,0,5,3
142,2014-06-20,4,0,4,0,1,6
143,2014-06-21,4,2,6,0,0,7
144,2014-06-24,2,1,3,0,1,1
145,2014-06-25,2,0,2,0,0,1
146,2014-06-26,4,2,1,0,0,5
147,2014-06-27,2,0,4,0,0,6
148,2014-06-28,4,0,3,0,0,4
149,2014-07-01,3,1,0,0,0,2
150,2014-07-02,5,0,3,0,0,6
151,2014-07-03,0,0,6,0,0,1
152,2014-07-05,4,0,6,0,0,8
153,2014-07-06,0,0,0,0,1,0
154,2014-07-07,0,1,0,0,0,0
155,2014-07-08,3,3,5,0,0,5
156,2014-07-09,4,0,6,0,0,9
157,2014-07-10,4,1,2,0,0,4
158,2014-07-11,2,0,9,0,0,4
159,2014-07-12,7,0,3,0,0,5
160,2014-07-14,0,0,1,0,0,0
161,2014-07-15,1,0,6,0,2,8
162,2014-07-16,0,0,5,0,0,3
163,2014-07-17,1,12,2,0,1,7
164,2014-07-18,1,0,4,0,1,5
165,2014-07-19,5,0,6,0,1,8
166,2014-07-22,3,0,2,0,0,3
167,2014-07-23,0,1,0,0,0,1
168,2014-07-24,3,0,7,0,0,6
169,2014-07-25,0,3,2,0,0,2
170,2014-07-26,3,0,3,0,0,3
171,2014-07-29,1,0,3,0,0,3
172,2014-07-30,4,5,4,0,0,9
173,2014-07-31,2,0,1,0,0,2
174,2014-08-01,6,0,1,0,0,3
175,2014-08-02,3,0,5,0,0,6
176,2014-08-03,0,2,1,0,0,1
177,2014-08-05,0,0,8,0,0,5
