STATION,NAME,DATE,TMAX,TMIN
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/16/13,91,56
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/17/13,89,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/18/13,95,53
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/19/13,86,58
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/20/13,81,58
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/21/13,77,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/22/13,76,53
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/23/13,81,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/24/13,87,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/25/13,79,56
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/26/13,84,56
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/27/13,89,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/28/13,85,56
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/29/13,87,60
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/30/13,95,54
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",8/31/13,88,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/1/13,84,54
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/2/13,83,54
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/3/13,82,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/4/13,85,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/5/13,86,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/6/13,94,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/7/13,96,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/8/13,92,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/9/13,95,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/10/13,71,56
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/11/13,69,62
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/12/13,82,56
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/13/13,83,53
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/14/13,82,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/15/13,81,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/16/13,87,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/17/13,82,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/18/13,85,54
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/19/13,89,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/20/13,78,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/21/13,71,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/22/13,78,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/23/13,85,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/24/13,81,53
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/25/13,74,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/26/13,79,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/27/13,81,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/28/13,82,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/29/13,71,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",9/30/13,73,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/1/13,80,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/2/13,81,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/3/13,79,53
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/4/13,85,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/5/13,87,39
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/6/13,86,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/7/13,84,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/8/13,78,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/9/13,78,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/10/13,74,44
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/11/13,69,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/12/13,73,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/13/13,77,39
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/14/13,82,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/15/13,85,36
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/16/13,83,36
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/17/13,84,39
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/18/13,80,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/19/13,85,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/20/13,81,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/21/13,74,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/22/13,80,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/23/13,78,44
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/24/13,67,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/25/13,72,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/26/13,83,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/27/13,65,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/28/13,67,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/29/13,66,40
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/30/13,68,34
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",10/31/13,75,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/1/13,79,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/2/13,76,36
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/3/13,65,39
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/4/13,73,30
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/5/13,78,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/6/13,76,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/7/13,76,44
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/8/13,77,39
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/9/13,76,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/10/13,67,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/11/13,68,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/12/13,74,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/13/13,80,40
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/14/13,64,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/15/13,70,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/16/13,69,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/17/13,63,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/18/13,57,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/19/13,56,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/20/13,61,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/21/13,65,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/22/13,76,44
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/23/13,69,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/24/13,66,30
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/25/13,65,32
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/26/13,62,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/27/13,69,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/28/13,72,36
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/29/13,70,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/30/13,69,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/1/13,71,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/2/13,67,33
