Series ID,Year,Period,Value
LAUMT064222000000003,2013,1,8.6
LAUMT064222000000003,2013,2,8.1
LAUMT064222000000003,2013,3,7.8
LAUMT064222000000003,2013,4,7.1
LAUMT064222000000003,2013,5,6.9
LAUMT064222000000003,2013,6,7.6
LAUMT064222000000003,2013,7,7.6
LAUMT064222000000003,2013,8,7.0
LAUMT064222000000003,2013,9,6.6
LAUMT064222000000003,2013,10,6.6
LAUMT064222000000003,2013,11,6.4
LAUMT064222000000003,2013,12,6.1
LAUMT064222000000003,2014,1,6.5
LAUMT064222000000003,2014,2,6.5
LAUMT064222000000003,2014,3,6.5
LAUMT064222000000003,2014,4,5.4
LAUMT064222000000003,2014,5,5.4
LAUMT064222000000003,2014,6,5.7
LAUMT064222000000003,2014,7,6.0
LAUMT064222000000003,2014,8,5.7
LAUMT064222000000003,2014,9,5.2
LAUMT064222000000003,2014,10,5.1
LAUMT064222000000003,2014,11,5.2
LAUMT064222000000003,2014,12,4.9
LAUMT064222000000003,2015,1,5.3
LAUMT064222000000003,2015,2,5.0
LAUMT064222000000003,2015,3,4.9
LAUMT064222000000003,2015,4,4.4
LAUMT064222000000003,2015,5,4.3
LAUMT064222000000003,2015,6,4.6
LAUMT064222000000003,2015,7,4.7
LAUMT064222000000003,2015,8,4.4
LAUMT064222000000003,2015,9,4.0
LAUMT064222000000003,2015,10,4.2
LAUMT064222000000003,2015,11,4.2
LAUMT064222000000003,2015,12,4.1
LAUMT064222000000003,2016,1,4.5
LAUMT064222000000003,2016,2,4.3
LAUMT064222000000003,2016,3,4.4
LAUMT064222000000003,2016,4,3.9
LAUMT064222000000003,2016,5,3.5
LAUMT064222000000003,2016,6,4.1
LAUMT064222000000003,2016,7,4.3
LAUMT064222000000003,2016,8,4.0
LAUMT064222000000003,2016,9,3.8
LAUMT064222000000003,2016,10,3.8
LAUMT064222000000003,2016,11,3.7
LAUMT064222000000003,2016,12,3.7
LAUMT064222000000003,2017,1,4.2
LAUMT064222000000003,2017,2,3.9
LAUMT064222000000003,2017,3,3.6
LAUMT064222000000003,2017,4,3.3
LAUMT064222000000003,2017,5,3.1
LAUMT064222000000003,2017,6,3.5
LAUMT064222000000003,2017,7,3.7
LAUMT064222000000003,2017,8,3.5
LAUMT064222000000003,2017,9,3.0
LAUMT064222000000003,2017,10,3.1
LAUMT064222000000003,2017,11,3.0
LAUMT064222000000003,2017,12,2.9
LAUMT064222000000003,2018,1,3.3
LAUMT064222000000003,2018,2,3.1
LAUMT064222000000003,2018,3,2.9
LAUMT064222000000003,2018,4,2.7
LAUMT064222000000003,2018,5,2.4
LAUMT064222000000003,2018,6,3.0
LAUMT064222000000003,2018,7,2.9
LAUMT064222000000003,2018,8,2.8
LAUMT064222000000003,2018,9,2.5
LAUMT064222000000003,2018,10,2.6
LAUMT064222000000003,2018,11,2.6
LAUMT064222000000003,2018,12,2.7
LAUMT064222000000003,2019,1,3.4
LAUMT064222000000003,2019,2,3.0
LAUMT064222000000003,2019,3,3.1
LAUMT064222000000003,2019,4,2.5
LAUMT064222000000003,2019,5,2.4
LAUMT064222000000003,2019,6,2.8
LAUMT064222000000003,2019,7,2.9
LAUMT064222000000003,2019,8,2.7
LAUMT064222000000003,2019,9,2.3
LAUMT064222000000003,2019,10,2.4
LAUMT064222000000003,2019,11,2.5
LAUMT064222000000003,2019,12,2.5
LAUMT064222000000003,2020,1,3.0
LAUMT064222000000003,2020,2,2.8
LAUMT064222000000003,2020,3,4.2
LAUMT064222000000003,2020,4,15.6
LAUMT064222000000003,2020,5,13.8
LAUMT064222000000003,2020,6,11.4
LAUMT064222000000003,2020,7,10.1
LAUMT064222000000003,2020,8,8.3
LAUMT064222000000003,2020,9,7.7
LAUMT064222000000003,2020,10,6.9
LAUMT064222000000003,2020,11,6.7
LAUMT064222000000003,2020,12,6.7
LAUMT064222000000003,2021,1,7.5
LAUMT064222000000003,2021,2,6.9
LAUMT064222000000003,2021,3,6.5
LAUMT064222000000003,2021,4,6.2
LAUMT064222000000003,2021,5,5.6
LAUMT064222000000003,2021,6,6.2
LAUMT064222000000003,2021,7,5.7
LAUMT064222000000003,2021,8,5.4
LAUMT064222000000003,2021,9,4.5
LAUMT064222000000003,2021,10,4.4
LAUMT064222000000003,2021,11,4.0
LAUMT064222000000003,2021,12,3.7
LAUMT064222000000003,2022,1,4.3
LAUMT064222000000003,2022,2,3.8
LAUMT064222000000003,2022,3,3.4
LAUMT064222000000003,2022,4,2.9
LAUMT064222000000003,2022,5,2.7
LAUMT064222000000003,2022,6,3.1
LAUMT064222000000003,2022,7,3.1
LAUMT064222000000003,2022,8,3.2
LAUMT064222000000003,2022,9,2.8
LAUMT064222000000003,2022,10,3.0
LAUMT064222000000003,2022,11,3.1
LAUMT064222000000003,2022,12,2.9
LAUMT064222000000003,2023,1,3.7
LAUMT064222000000003,2023,2,3.6
LAUMT064222000000003,2023,3,3.5
LAUMT064222000000003,2023,4,3.1
LAUMT064222000000003,2023,5,3.2
LAUMT064222000000003,2023,6,3.6
LAUMT064222000000003,2023,7,3.7
LAUMT064222000000003,2023,8,3.9
LAUMT064222000000003,2023,9,3.7
LAUMT064222000000003,2023,10,3.8
LAUMT064222000000003,2023,11,3.8
LAUMT064222000000003,2023,12,3.8
LAUMT064222000000003,2024,1,4.5
LAUMT064222000000003,2024,2,4.5
LAUMT064222000000003,2024,3,4.2
