,date,intakes,outcomes
0,2013-08-22,1,0
1,2013-08-23,0,0
2,2013-08-24,0,0
3,2013-08-25,0,0
4,2013-08-26,0,0
5,2013-08-27,0,0
6,2013-08-28,0,0
7,2013-08-29,0,0
8,2013-08-30,0,0
9,2013-08-31,1,0
10,2013-09-01,0,0
11,2013-09-02,0,0
12,2013-09-03,0,0
13,2013-09-04,0,0
14,2013-09-05,0,0
15,2013-09-06,0,0
16,2013-09-07,0,0
17,2013-09-08,0,0
18,2013-09-09,0,0
19,2013-09-10,0,0
20,2013-09-11,0,0
21,2013-09-12,0,0
22,2013-09-13,0,0
23,2013-09-14,0,0
24,2013-09-15,0,0
25,2013-09-16,0,0
26,2013-09-17,0,0
27,2013-09-18,0,0
28,2013-09-19,1,0
29,2013-09-20,0,0
30,2013-09-21,0,0
31,2013-09-22,0,0
32,2013-09-23,0,0
33,2013-09-24,0,0
34,2013-09-25,0,0
35,2013-09-26,0,0
36,2013-09-27,0,0
37,2013-09-28,0,0
38,2013-09-29,0,0
39,2013-09-30,0,0
40,2013-10-01,1,0
41,2013-10-02,0,0
42,2013-10-03,0,0
43,2013-10-04,0,0
44,2013-10-05,0,0
45,2013-10-06,0,0
46,2013-10-07,0,0
47,2013-10-08,1,0
48,2013-10-09,1,0
49,2013-10-10,0,0
50,2013-10-11,0,0
51,2013-10-12,0,0
52,2013-10-13,0,0
53,2013-10-14,0,0
54,2013-10-15,0,0
55,2013-10-16,0,0
56,2013-10-17,0,0
57,2013-10-18,0,0
58,2013-10-19,0,0
59,2013-10-20,0,0
60,2013-10-21,0,0
61,2013-10-22,0,0
62,2013-10-23,0,0
63,2013-10-24,0,0
64,2013-10-25,0,0
65,2013-10-26,0,0
66,2013-10-27,0,0
67,2013-10-28,0,0
68,2013-10-29,0,0
69,2013-10-30,1,0
70,2013-10-31,0,0
71,2013-11-01,0,0
72,2013-11-02,1,0
73,2013-11-03,0,0
74,2013-11-04,0,0
75,2013-11-05,0,0
76,2013-11-06,0,0
77,2013-11-07,0,0
78,2013-11-08,0,0
79,2013-11-09,0,0
80,2013-11-10,0,0
81,2013-11-11,0,0
82,2013-11-12,1,0
83,2013-11-13,0,0
84,2013-11-14,0,0
85,2013-11-15,0,0
86,2013-11-16,1,0
87,2013-11-17,0,0
88,2013-11-18,0,0
89,2013-11-19,0,0
90,2013-11-20,0,0
91,2013-11-21,1,0
92,2013-11-22,0,0
93,2013-11-23,0,0
94,2013-11-24,0,0
95,2013-11-25,0,0
96,2013-11-26,0,0
97,2013-11-27,0,0
98,2013-11-28,0,0
99,2013-11-29,0,0
100,2013-11-30,0,0
101,2013-12-01,0,0
102,2013-12-02,1,0
103,2013-12-03,1,0
104,2013-12-04,2,0
105,2013-12-05,1,0
106,2013-12-06,1,0
107,2013-12-07,2,0
108,2013-12-08,0,0
109,2013-12-09,1,0
110,2013-12-10,2,0
111,2013-12-11,4,0
112,2013-12-12,3,0
113,2013-12-13,2,0
114,2013-12-14,1,0
115,2013-12-15,1,0
116,2013-12-16,1,0
117,2013-12-17,3,0
118,2013-12-18,2,0
119,2013-12-19,0,0
120,2013-12-20,9,0
121,2013-12-21,4,0
122,2013-12-22,0,0
123,2013-12-23,5,0
124,2013-12-24,5,0
125,2013-12-25,0,0
126,2013-12-26,9,0
127,2013-12-27,0,0
128,2013-12-28,8,0
129,2013-12-29,2,0
130,2013-12-30,0,0
131,2013-12-31,9,0
132,2014-01-01,1,1
133,2014-01-02,13,1
134,2014-01-03,4,1
135,2014-01-04,8,1
136,2014-01-05,2,1
137,2014-01-06,4,1
138,2014-01-07,2,1
139,2014-01-08,2,1
140,2014-01-09,11,1
141,2014-01-10,6,1
142,2014-01-11,5,1
143,2014-01-12,2,0
144,2014-01-13,4,0
145,2014-01-14,5,1
146,2014-01-15,6,1
147,2014-01-16,5,2
148,2014-01-17,2,1
149,2014-01-18,6,1
150,2014-01-19,2,0
151,2014-01-20,5,0
152,2014-01-21,7,2
153,2014-01-22,3,1
154,2014-01-23,4,2
155,2014-01-24,8,4
156,2014-01-25,4,3
157,2014-01-26,0,0
158,2014-01-27,2,2
159,2014-01-28,10,1
160,2014-01-29,3,1
161,2014-01-30,5,1
162,2014-01-31,3,3
163,2014-02-01,1,2
164,2014-02-02,0,0
165,2014-02-03,4,0
166,2014-02-04,8,9
167,2014-02-05,3,4
168,2014-02-06,5,5
169,2014-02-07,4,5
170,2014-02-08,0,9
171,2014-02-09,3,8
172,2014-02-10,3,2
173,2014-02-11,8,9
174,2014-02-12,0,0
175,2014-02-13,8,1
176,2014-02-14,6,13
177,2014-02-15,6,4
178,2014-02-16,1,0
179,2014-02-17,1,0
180,2014-02-18,10,8
181,2014-02-19,7,2
182,2014-02-20,3,4
183,2014-02-21,12,2
184,2014-02-22,5,2
185,2014-02-23,2,0
186,2014-02-24,5,0
187,2014-02-25,7,11
188,2014-02-26,4,6
189,2014-02-27,5,5
190,2014-02-28,6,2
191,2014-03-01,2,4
192,2014-03-02,1,0
193,2014-03-03,2,0
194,2014-03-04,5,5
195,2014-03-05,2,6
196,2014-03-06,6,5
197,2014-03-07,6,2
198,2014-03-08,3,6
199,2014-03-09,1,0
200,2014-03-10,3,0
201,2014-03-11,11,2
202,2014-03-12,3,5
203,2014-03-13,4,7
204,2014-03-14,5,3
205,2014-03-15,3,4
206,2014-03-16,1,0
207,2014-03-17,2,0
208,2014-03-18,8,8
209,2014-03-19,3,4
210,2014-03-20,8,2
211,2014-03-21,4,10
212,2014-03-22,4,3
213,2014-03-23,1,5
214,2014-03-24,4,3
215,2014-03-25,5,1
216,2014-03-26,5,4
217,2014-03-27,4,8
218,2014-03-28,3,3
