,state,year,organizations,intake_relinquished_by_owner_total_canine,intake_stray_at_large_total_canine,intake_transferred_in_total_canine,intake_owner_intended_euthanasia_total_canine,intakes_other_intakes_total_canine,live_outcome_adoption_total_canine,live_outcome_returned_to_owner_total_canine,live_outcome_returned_to_field_total_canine,live_outcome_transferred_out_total_canine,live_outcome_other_live_outcome_total_canine,other_outcome_died_in_care_total_canine,other_outcome_lost_in_care_total_canine,other_outcome_owner_intended_euthanasia_total_canine,other_outcome_shelter_euthanasia_total_canine,intake_total,outcome_total,diff,ratio
0,AK,2021,5,565,1130,0,75,144,763,948,0,3,6,7,0,80,82,1914,1889,-25,1.0132345156167284
1,AK,2022,5,808,1325,7,109,189,1106,1006,0,1,3,4,1,112,216,2438,2449,11,0.995508370763577
2,AK,2023,5,672,1276,3,117,210,993,880,0,8,4,12,1,149,257,2278,2304,26,0.9887152777777778
3,AL,2021,17,3566,8323,1435,27,1953,6577,2101,1,3592,90,180,7,7,2994,15304,15549,245,0.9842433597015885
4,AL,2022,17,3289,9517,872,4,2277,6681,2012,0,3190,808,193,14,0,3262,15959,16160,201,0.9875618811881188
5,AL,2023,17,4162,9881,778,0,1820,6398,1956,20,2826,1539,179,51,13,4274,16641,17256,615,0.9643602225312935
6,AR,2021,19,1670,4320,516,15,409,3240,1482,4,1567,265,123,5,12,364,6930,7062,132,0.9813084112149533
7,AR,2022,19,1728,4665,536,14,478,3479,1601,8,1365,7,140,26,12,579,7421,7217,-204,1.0282665927670778
8,AR,2023,19,1621,4491,1117,10,281,3696,1565,0,1595,1,77,9,6,479,7520,7428,-92,1.0123855681206246
9,AZ,2021,40,12522,28818,6516,755,3476,32510,9444,9,6229,615,543,36,784,2613,52087,52783,696,0.9868139363052498
10,AZ,2022,40,11732,30583,6314,522,3264,35201,8359,3,4917,282,476,40,497,3520,52415,53295,880,0.9834881320949432
11,AZ,2023,40,10890,30590,4930,494,3038,34625,7290,2,4394,646,587,70,572,3742,49942,51928,1986,0.9617547373286088
12,CA,2021,127,28735,82761,15768,6055,6745,70334,33064,115,19114,2010,995,136,5806,8652,140064,140226,162,0.9988447220914809
13,CA,2022,127,32591,106193,16871,5115,8129,85395,33101,196,22176,3532,1226,290,4845,15097,168899,165858,-3041,1.0183349612318973
14,CA,2023,127,32409,124055,15589,6433,7783,95161,33758,326,25141,3038,1380,330,6335,22873,186269,188342,2073,0.9889934268511538
15,CO,2021,37,11184,16541,9099,343,2625,23314,12383,129,1558,207,127,14,347,2201,39792,40280,488,0.9878848063555115
16,CO,2022,37,12828,18520,7545,406,3123,23966,13253,0,1632,154,128,10,415,3075,42422,42633,211,0.9950507822578754
17,CO,2023,37,13551,19795,6539,451,3196,23969,13464,0,2200,197,138,22,454,3828,43532,44272,740,0.9832851463679074
18,CT,2021,10,291,240,414,165,361,852,185,0,180,45,18,0,169,35,1471,1484,13,0.9912398921832885
19,CT,2022,10,395,344,575,213,243,1080,226,0,113,41,14,0,213,28,1770,1715,-55,1.032069970845481
20,CT,2023,10,417,306,523,246,166,1012,213,0,115,40,21,1,250,30,1658,1682,24,0.985731272294887
21,DE,2021,2,137,53,362,0,1,517,23,0,3,0,3,0,0,20,553,566,13,0.9770318021201413
22,DE,2022,2,134,44,279,0,1,393,13,0,25,0,2,0,0,7,458,440,-18,1.040909090909091
23,DE,2023,2,158,49,128,0,0,307,14,0,2,0,1,0,0,16,335,340,5,0.9852941176470589
24,FL,2021,63,17235,22095,12924,3604,4477,38581,8294,2,6762,2472,331,25,3137,2837,60335,62441,2106,0.9662721609199084
25,FL,2022,63,17232,23991,11336,3033,3718,36948,8123,7,7361,2019,320,18,2784,3474,59310,61054,1744,0.9714351230058637
26,FL,2023,63,16565,25088,10501,2884,4245,37831,7869,0,6983,2736,331,54,2754,3980,59283,62538,3255,0.9479516453995971
27,GA,2021,52,9473,13653,4524,173,4069,16209,4479,9,6880,956,243,35,178,2083,31892,31072,-820,1.0263903192584964
28,GA,2022,52,8029,14576,4440,287,2617,15342,4029,0,6026,307,275,49,308,2230,29949,28566,-1383,1.0484141986977527
29,GA,2023,52,7610,13654,4259,412,3024,15859,3582,0,6240,375,422,68,625,2983,28959,30154,1195,0.9603701001525502
30,HI,2021,6,2767,4519,601,620,47,4132,2185,19,623,0,26,4,248,797,8554,8034,-520,1.064724919093851
31,HI,2022,6,3041,5655,530,686,37,4769,2296,1,700,0,59,1,606,935,9949,9367,-582,1.062133020177218
32,HI,2023,6,2479,6195,545,795,46,4975,2329,13,800,3,54,1,753,944,10060,9872,-188,1.0190437601296596
