,iter,TN,FP,FN,TP,accuracy,predict_count,actual_count
0,1,2033,299,145,2722,0.914598961338719,3021,2867
1,2,2169,163,95,2772,0.9503750721292556,2935,2867
2,3,2062,270,105,2762,0.927870744373918,3032,2867
3,4,1923,409,168,2699,0.8890171186766685,3108,2867
4,5,2158,174,135,2732,0.9405654933641084,2906,2867
5,6,2066,266,97,2770,0.9301788805539527,3036,2867
6,7,2096,236,133,2734,0.9290248124639354,2970,2867
7,8,1961,371,85,2782,0.9122908251586843,3153,2867
8,9,1736,596,135,2732,0.8593960376995576,3328,2867
9,10,2035,297,128,2739,0.9182535102904404,3036,2867
10,11,2027,305,148,2719,0.9128678592036931,3024,2867
11,12,2079,253,126,2741,0.9271013656472399,2994,2867
12,13,2029,303,154,2713,0.9120984804770148,3016,2867
13,14,2030,302,93,2774,0.9240238507405271,3076,2867
14,15,1939,393,151,2716,0.8953644931717638,3109,2867
15,16,1946,386,96,2771,0.9072898634352761,3157,2867
16,17,1935,397,115,2752,0.9015195229851894,3149,2867
17,18,1989,343,84,2783,0.9178688209271013,3126,2867
18,19,2066,266,101,2766,0.9294095018272744,3032,2867
19,20,2035,297,149,2718,0.9142142719753799,3015,2867
20,21,1939,393,103,2764,0.9045970378919023,3157,2867
21,22,1913,419,144,2723,0.8917099442200423,3142,2867
22,23,2076,256,95,2772,0.9324870167339873,3028,2867
23,24,2103,229,114,2753,0.9340257741873437,2982,2867
24,25,2058,274,181,2686,0.9124831698403539,2960,2867
25,26,1985,347,141,2726,0.9061357953452587,3073,2867
26,27,2092,240,161,2706,0.9228697826505097,2946,2867
27,28,2072,260,118,2749,0.9272937103289094,3009,2867
28,29,2064,268,161,2706,0.9174841315637623,2974,2867
29,30,1856,476,164,2703,0.8768994037314868,3179,2867
30,31,2012,320,101,2766,0.9190228890171187,3086,2867
31,32,2022,310,67,2800,0.9274860550105789,3110,2867
32,33,1950,382,151,2716,0.8974802846701289,3098,2867
33,34,2186,146,106,2761,0.9515291402192729,2907,2867
34,35,2027,305,140,2727,0.9144066166570495,3032,2867
35,36,1832,500,223,2644,0.860934795152914,3144,2867
36,37,2053,279,138,2729,0.9197922677437969,3008,2867
37,38,1840,492,202,2665,0.866512790921331,3157,2867
38,39,1969,363,125,2742,0.9061357953452587,3105,2867
39,40,1966,366,103,2764,0.9097903442969801,3130,2867
40,41,1987,345,171,2696,0.9007501442585113,3041,2867
41,42,2035,297,111,2756,0.9215233698788229,3053,2867
