iter	Passed	Remaining
0	12	12932
1	18	9311
2	25	8493
3	36	9187
4	44	8901
5	49	8272
6	57	8123
7	66	8246
8	99	10979
9	174	17313
10	185	16712
11	195	16102
12	201	15296
13	207	14646
14	213	13987
15	220	13540
16	226	13084
17	230	12578
18	237	12245
19	241	11849
20	248	11593
21	260	11566
22	267	11382
23	276	11228
24	283	11058
25	291	10916
26	303	10922
27	311	10797
28	318	10673
29	323	10468
30	330	10328
31	336	10170
32	342	10050
33	350	9969
34	358	9874
35	364	9750
36	371	9667
37	379	9612
38	385	9504
39	393	9449
40	401	9387
41	409	9334
42	418	9307
43	426	9264
44	433	9199
45	440	9138
46	448	9090
47	456	9055
48	465	9038
49	474	9009
50	482	8975
51	492	8972
52	502	8979
53	510	8941
54	518	8915
55	528	8909
56	535	8854
57	542	8804
58	546	8723
59	554	8682
60	561	8644
61	570	8627
62	577	8586
63	588	8600
64	595	8570
65	602	8529
66	611	8513
67	619	8484
68	631	8526
69	637	8470
70	643	8422
71	652	8415
72	659	8375
73	668	8362
74	675	8336
75	683	8306
76	696	8351
77	709	8384
78	721	8407
79	729	8383
80	738	8377
81	743	8327
82	751	8300
83	757	8264
84	765	8239
85	774	8231
86	782	8211
87	792	8209
88	801	8199
89	808	8177
90	818	8174
91	827	8164
92	833	8128
93	840	8105
94	847	8071
95	855	8060
96	863	8038
97	872	8026
98	882	8027
99	890	8015
100	897	7987
101	904	7959
102	909	7922
103	918	7909
104	924	7880
105	930	7851
106	939	7844
107	949	7844
108	958	7833
109	964	7802
110	973	7793
111	981	7783
112	991	7782
113	999	7770
114	1006	7747
115	1014	7732
116	1024	7728
117	1031	7712
118	1039	7693
119	1048	7685
120	1050	7629
121	1057	7608
122	1066	7602
123	1074	7589
124	1119	7834
125	1131	7849
126	1144	7866
127	1156	7877
128	1168	7887
129	1180	7903
130	1195	7932
131	1208	7944
132	1219	7952
133	1231	7961
134	1243	7968
135	1253	7966
136	1265	7971
137	1277	7978
138	1289	7988
139	1305	8019
140	1320	8045
141	1335	8070
142	1349	8089
143	1366	8122
144	1371	8085
145	1381	8081
146	1393	8085
147	1405	8091
148	1417	8098
149	1433	8121
150	1444	8123
151	1457	8133
152	1467	8125
153	1479	8129
154	1496	8159
155	1512	8180
156	1526	8196
157	1538	8196
158	1552	8211
159	1563	8209
160	1572	8196
161	1582	8186
162	1591	8173
163	1599	8154
164	1608	8140
165	1619	8136
166	1629	8127
167	1637	8111
168	1643	8079
169	1651	8061
170	1658	8042
171	1667	8026
172	1678	8022
173	1692	8036
174	1704	8034
175	1712	8016
176	1722	8007
177	1733	8006
178	1748	8017
179	1758	8010
180	1768	8002
181	1780	8000
182	1792	8001
183	1800	7985
184	1809	7971
185	1812	7932
186	1821	7917
187	1829	7900
188	1838	7887
189	1845	7867
190	1855	7858
191	1862	7837
192	1869	7817
193	1876	7795
194	1881	7769
195	1888	7746
196	1896	7729
197	1911	7743
198	1917	7719
199	1924	7698
200	1933	7686
201	1940	7665
202	1946	7642
203	1953	7623
204	1961	7608
205	1969	7589
206	1979	7582
207	1987	7569
208	1999	7566
209	2006	7549
210	2017	7544
211	2030	7545
212	2048	7568
213	2061	7571
214	2066	7546
215	2077	7540
216	2087	7532
217	2096	7521
218	2104	7505
219	2108	7475
220	2143	7556
221	2158	7564
222	2169	7560
223	2203	7633
224	2213	7623
225	2220	7605
226	2229	7590
227	2237	7574
228	2246	7563
229	2255	7552
230	2266	7545
231	2276	7535
232	2284	7521
233	2296	7516
234	2305	7503
235	2314	7491
236	2326	7490
237	2338	7488
238	2349	7481
239	2357	7464
240	2369	7461
241	2381	7458
242	2392	7454
243	2403	7445
244	2412	7434
245	2428	7444
246	2439	7437
247	2453	7439
248	2468	7445
249	2476	7429
250	2485	7417
251	2494	7405
252	2505	7398
253	2515	7387
254	2525	7378
255	2534	7365
256	2544	7355
257	2557	7353
258	2572	7360
259	2595	7388
260	2604	7373
261	2611	7355
262	2617	7334
263	2623	7314
264	2631	7298
265	2638	7282
266	2647	7267
267	2655	7253
268	2664	7240
269	2674	7231
270	2683	7219
271	2693	7208
272	2701	7194
273	2713	7189
274	2726	7188
275	2738	7184
276	2752	7183
277	2767	7188
278	2784	7195
279	2800	7201
280	2817	7209
281	2830	7207
282	2838	7192
283	2849	7183
284	2859	7174
285	2870	7165
286	2883	7164
287	2892	7151
288	2907	7153
289	2918	7146
290	2932	7145
291	2942	7134
292	2953	7126
293	2967	7125
294	2981	7126
295	2992	7117
296	3003	7108
297	3013	7098
298	3022	7087
299	3034	7079
300	3041	7063
301	3054	7060
302	3065	7051
303	3083	7058
304	3093	7048
305	3104	7040
306	3113	7027
307	3122	7014
308	3199	7154
309	3210	7145
310	3220	7135
311	3230	7124
312	3240	7113
313	3251	7103
314	3260	7090
315	3268	7074
316	3277	7061
317	3285	7046
318	3292	7028
319	3301	7016
320	3310	7002
321	3319	6989
322	3327	6974
323	3334	6956
324	3343	6943
325	3351	6929
326	3360	6915
327	3366	6897
328	3377	6887
329	3384	6871
330	3392	6856
331	3401	6843
332	3408	6826
333	3416	6813
334	3427	6804
335	3436	6790
336	3444	6776
337	3451	6760
338	3460	6746
339	3468	6732
340	3476	6718
341	3483	6702
342	3492	6689
343	3499	6673
344	3507	6659
345	3513	6641
346	3520	6625
347	3528	6610
348	3535	6595
349	3542	6579
350	3552	6569
351	3564	6561
352	3573	6549
353	3581	6535
354	3587	6518
355	3596	6505
356	3603	6489
357	3610	6474
358	3617	6459
359	3629	6451
360	3639	6441
361	3644	6423
362	3654	6412
363	3660	6395
364	3666	6379
365	3719	6443
366	3735	6442
367	3747	6436
368	3755	6422
369	3766	6412
370	3774	6399
371	3783	6386
372	3792	6375
373	3800	6360
374	3807	6346
375	3814	6331
376	3829	6328
377	3838	6316
378	3853	6314
379	3879	6329
380	3897	6332
381	3907	6320
382	3913	6304
383	3919	6287
384	3926	6271
385	3933	6256
386	3941	6243
387	3950	6230
388	3960	6221
389	3966	6204
390	3982	6202
391	3989	6188
392	3997	6174
393	4005	6160
394	4013	6147
395	4022	6135
396	4029	6119
397	4035	6103
398	4042	6088
399	4049	6074
400	4057	6061
401	4066	6048
402	4074	6035
403	4083	6024
404	4091	6010
405	4097	5994
406	4106	5983
407	4115	5970
408	4122	5957
409	4129	5941
410	4137	5928
411	4145	5917
412	4154	5904
413	4161	5890
414	4169	5877
415	4177	5864
416	4185	5852
417	4194	5840
418	4228	5862
419	4236	5850
420	4249	5844
421	4260	5835
422	4286	5846
423	4294	5834
424	4302	5820
425	4310	5808
426	4320	5797
427	4329	5786
428	4341	5777
429	4360	5779
430	4369	5769
431	4381	5760
432	4390	5749
433	4398	5736
434	4409	5726
435	4419	5716
436	4432	5710
437	4441	5699
438	4452	5689
439	4462	5679
440	4471	5668
441	4481	5657
442	4490	5646
443	4497	5632
444	4507	5621
445	4513	5606
446	4520	5592
447	4532	5585
448	4541	5573
449	4551	5562
450	4559	5550
451	4567	5537
452	4575	5525
453	4586	5515
454	4594	5503
455	4604	5492
456	4611	5479
457	4619	5466
458	4626	5452
459	4633	5438
460	4640	5425
461	4653	5418
462	4661	5406
463	4670	5395
464	4678	5382
465	4686	5370
466	4693	5356
467	4708	5351
468	4715	5339
469	4724	5327
470	4733	5316
471	4744	5307
472	4750	5293
473	4760	5282
474	4769	5271
475	4778	5260
476	4786	5247
477	4793	5234
478	4799	5220
479	4807	5208
480	4816	5197
481	4826	5186
482	4834	5174
483	4841	5161
484	4848	5148
485	4857	5137
486	4872	5132
487	4883	5123
488	4892	5113
489	4904	5104
490	4912	5092
491	4924	5084
492	4932	5073
493	4941	5061
494	4949	5049
495	4958	5038
496	4964	5024
497	4972	5012
498	4980	5000
499	4989	4989
500	5001	4981
501	5008	4968
502	5020	4960
503	5028	4948
504	5038	4939
505	5048	4928
506	5055	4915
507	5063	4903
508	5072	4893
509	5083	4883
510	5092	4872
511	5099	4860
512	5111	4852
513	5121	4842
514	5129	4830
515	5137	4818
516	5145	4807
517	5153	4795
518	5161	4783
519	5168	4771
520	5177	4759
521	5184	4747
522	5191	4735
523	5201	4725
524	5210	4714
525	5247	4728
526	5257	4718
527	5278	4718
528	5293	4713
529	5302	4701
530	5311	4691
531	5319	4679
532	5328	4668
533	5335	4656
534	5342	4643
535	5348	4630
536	5356	4618
537	5364	4606
538	5373	4595
539	5383	4585
540	5392	4574
541	5415	4575
542	5421	4562
543	5430	4552
544	5438	4540
545	5448	4530
546	5456	4519
547	5466	4508
548	5473	4496
549	5490	4492
550	5498	4480
551	5507	4470
552	5517	4460
553	5529	4451
554	5538	4440
555	5545	4428
556	5553	4416
557	5561	4405
558	5571	4395
559	5578	4383
560	5585	4371
561	5594	4360
562	5602	4348
563	5610	4337
564	5618	4325
565	5627	4315
566	5641	4308
567	5652	4298
568	5662	4288
569	5672	4279
570	5685	4271
571	5694	4261
572	5709	4254
573	5716	4242
574	5729	4234
575	5735	4221
576	5744	4211
577	5756	4203
578	5766	4193
579	5776	4182
580	5788	4174
581	5795	4162
582	5802	4150
583	5810	4138
584	5817	4126
585	5826	4116
586	5834	4105
587	5842	4094
588	5851	4082
589	5862	4073
590	5871	4063
591	5877	4050
592	5884	4039
593	5893	4027
594	5908	4021
595	5914	4009
596	5923	3998
597	5932	3987
598	5943	3978
599	5954	3969
600	5965	3960
601	5973	3949
602	5980	3937
603	5989	3926
604	5996	3915
605	6005	3904
606	6013	3893
607	6020	3881
608	6027	3869
609	6036	3859
610	6046	3849
611	6054	3838
612	6073	3834
613	6082	3824
614	6094	3815
615	6100	3802
616	6112	3794
617	6119	3782
618	6126	3770
619	6136	3761
620	6148	3752
621	6157	3742
622	6168	3732
623	6177	3722
624	6189	3713
625	6201	3705
626	6210	3694
627	6222	3686
628	6231	3675
629	6308	3705
630	6319	3695
631	6330	3685
632	6406	3714
633	6422	3707
634	6432	3697
635	6440	3685
636	6450	3675
637	6460	3665
638	6465	3652
639	6475	3642
640	6484	3631
641	6494	3621
642	6506	3612
643	6512	3600
644	6519	3588
645	6527	3577
646	6536	3566
647	6544	3555
648	6551	3543
649	6559	3531
650	6565	3520
651	6577	3510
652	6582	3497
653	6591	3487
654	6597	3475
655	6605	3464
656	6618	3455
657	6628	3445
658	6637	3434
659	6644	3422
660	6651	3411
661	6659	3400
662	6667	3389
663	6674	3377
664	6683	3367
665	6691	3356
666	6699	3344
667	6707	3333
668	6715	3322
669	6721	3310
670	6727	3298
671	6738	3288
672	6748	3278
673	6754	3266
674	6765	3257
675	6775	3247
676	6783	3236
677	6794	3226
678	6823	3225
679	6838	3218
680	6848	3207
681	6858	3197
682	6870	3188
683	6880	3178
684	6894	3170
685	6903	3159
686	6914	3150
687	6926	3141
688	6936	3131
689	6946	3121
690	6960	3112
691	6977	3105
692	6996	3099
693	7008	3090
694	7017	3079
695	7030	3070
696	7043	3062
697	7052	3051
698	7063	3041
699	7077	3033
700	7088	3023
701	7097	3012
702	7108	3003
703	7117	2992
704	7131	2984
705	7143	2974
706	7157	2966
707	7168	2956
708	7178	2946
709	7187	2935
710	7199	2926
711	7209	2916
712	7219	2905
713	7228	2895
714	7235	2883
715	7243	2873
716	7250	2861
717	7258	2850
718	7267	2840
719	7276	2829
720	7284	2818
721	7291	2807
722	7299	2796
723	7306	2785
724	7344	2785
725	7355	2776
726	7365	2765
727	7377	2756
728	7384	2745
729	7391	2733
730	7397	2722
731	7403	2710
732	7410	2699
733	7418	2688
734	7425	2677
735	7432	2666
736	7439	2654
737	7448	2644
738	7456	2633
739	7465	2623
740	7472	2611
741	7480	2601
742	7488	2590
743	7497	2579
744	7505	2568
745	7513	2558
746	7521	2547
747	7529	2536
748	7539	2526
749	7549	2516
750	7555	2505
751	7565	2494
752	7572	2484
753	7580	2473
754	7591	2463
755	7598	2452
756	7605	2441
757	7613	2430
758	7622	2420
759	7628	2409
760	7636	2398
761	7644	2387
762	7652	2377
763	7659	2365
764	7664	2354
765	7672	2343
766	7680	2333
767	7687	2322
768	7696	2311
769	7703	2301
770	7711	2290
771	7720	2280
772	7728	2269
773	7735	2258
774	7743	2247
775	7752	2237
776	7761	2227
777	7769	2217
778	7777	2206
779	7786	2196
780	7797	2186
781	7804	2175
782	7815	2165
783	7825	2155
784	7834	2145
785	7844	2135
786	7853	2125
787	7864	2115
788	7871	2105
789	7885	2096
790	7892	2085
791	7920	2080
792	7930	2070
793	7941	2060
794	7952	2050
795	7963	2040
796	7972	2030
797	7983	2020
798	7992	2010
799	8001	2000
800	8009	1989
801	8019	1979
802	8027	1969
803	8044	1960
804	8056	1951
805	8068	1942
806	8084	1933
807	8099	1924
808	8112	1915
