iter	Passed	Remaining
0	17	17866
1	29	14869
2	52	17544
3	65	16393
4	80	15930
5	83	13909
6	98	13908
7	110	13758
8	124	13674
9	135	13427
10	150	13533
11	160	13238
12	173	13206
13	187	13176
14	201	13244
15	214	13202
16	228	13236
17	243	13290
18	258	13366
19	271	13327
20	290	13533
21	305	13558
22	319	13558
23	332	13516
24	344	13446
25	359	13455
26	386	13925
27	418	14516
28	441	14771
29	463	14976
30	479	14975
31	496	15018
32	506	14853
33	523	14869
34	540	14894
35	554	14856
36	571	14881
37	588	14906
38	604	14897
39	622	14944
40	637	14902
41	647	14758
42	667	14854
43	681	14811
44	698	14815
45	714	14820
46	728	14775
47	747	14816
48	762	14796
49	784	14913
50	801	14920
51	821	14967
52	842	15046
53	854	14962
54	874	15024
55	896	15115
56	914	15133
57	935	15187
58	954	15218
59	971	15222
60	987	15197
61	1011	15300
62	1031	15339
63	1048	15327
64	1067	15353
65	1083	15339
66	1103	15373
67	1129	15483
68	1143	15426
69	1159	15404
70	1176	15394
71	1198	15451
72	1219	15481
73	1235	15463
74	1252	15452
75	1270	15447
76	1288	15447
77	1310	15486
78	1337	15590
79	1362	15666
80	1382	15686
81	1400	15678
82	1420	15694
83	1436	15664
84	1453	15649
85	1470	15625
86	1489	15628
87	1509	15642
88	1526	15627
89	1545	15628
90	1565	15639
91	1587	15663
92	1609	15700
93	1633	15739
94	1654	15757
95	1675	15774
96	1690	15734
97	1710	15741
98	1733	15772
99	1755	15795
100	1770	15758
101	1786	15727
102	1808	15748
103	1837	15828
104	1859	15846
105	1888	15923
106	1906	15910
107	1932	15959
108	1955	15987
109	1978	16008
110	1995	15983
111	2014	15968
112	2025	15899
113	2040	15857
114	2059	15850
115	2076	15823
116	2094	15804
117	2106	15746
118	2123	15721
119	2140	15693
120	2159	15691
121	2175	15653
122	2192	15631
123	2211	15619
124	2225	15577
125	2240	15539
126	2262	15553
127	2284	15562
128	2298	15516
129	2329	15592
130	2344	15554
131	2371	15592
132	2387	15565
133	2403	15534
134	2419	15500
135	2436	15476
136	2450	15438
137	2465	15398
138	2483	15381
139	2501	15366
140	2514	15321
141	2530	15292
142	2551	15288
143	2566	15254
144	2581	15221
145	2597	15191
146	2612	15157
147	2629	15138
148	2650	15138
149	2673	15147
150	2691	15131
151	2710	15123
152	2731	15119
153	2752	15121
154	2776	15136
155	2795	15124
156	2813	15106
157	2832	15093
158	2851	15080
159	2871	15073
160	2885	15034
161	2905	15031
162	2923	15009
163	2938	14977
164	2955	14957
165	2974	14942
166	2994	14937
167	3011	14914
168	3038	14940
169	3061	14949
170	3085	14956
171	3107	14961
172	3129	14960
173	3148	14945
174	3171	14952
175	3209	15026
176	3230	15018
177	3248	14999
178	3265	14977
179	3283	14957
180	3302	14945
181	3319	14918
182	3337	14898
183	3355	14882
184	3380	14892
185	3397	14868
186	3416	14851
187	3447	14891
188	3463	14860
189	3487	14867
190	3511	14874
191	3528	14848
192	3548	14835
193	3563	14806
194	3583	14795
195	3604	14784
196	3626	14781
197	3646	14768
198	3667	14760
199	3687	14750
200	3707	14735
201	3724	14714
202	3745	14706
203	3765	14693
204	3785	14681
205	3809	14681
206	3841	14717
207	3859	14695
208	3888	14718
209	3914	14726
210	3931	14702
211	3950	14683
212	3968	14663
213	3985	14638
214	4004	14621
215	4021	14596
216	4040	14578
217	4057	14553
218	4075	14534
219	4093	14513
220	4125	14541
221	4140	14510
222	4154	14474
223	4172	14456
224	4193	14445
225	4215	14438
226	4244	14452
227	4271	14464
228	4292	14450
229	4308	14424
230	4325	14400
231	4340	14369
232	4353	14332
233	4368	14299
234	4383	14268
235	4400	14245
236	4417	14222
237	4434	14198
238	4452	14178
239	4468	14150
240	4487	14133
241	4504	14110
242	4525	14096
243	4541	14072
244	4558	14048
245	4576	14026
246	4590	13993
247	4615	13995
248	4638	13989
249	4669	14009
250	4689	13993
251	4707	13973
252	4726	13955
253	4745	13938
254	4766	13926
255	4781	13897
256	4798	13873
257	4815	13848
258	4834	13830
259	4853	13814
260	4873	13798
261	4888	13768
262	4904	13744
263	4922	13722
264	4943	13710
265	4967	13706
266	4982	13679
267	5007	13678
268	5039	13694
269	5071	13712
270	5090	13694
271	5111	13681
272	5127	13654
273	5142	13626
274	5161	13607
275	5180	13589
276	5200	13572
277	5217	13549
278	5237	13535
279	5251	13504
280	5266	13475
281	5281	13447
282	5299	13425
283	5316	13403
284	5334	13382
285	5352	13362
286	5371	13343
287	5386	13317
288	5408	13307
289	5425	13282
290	5444	13266
291	5471	13265
292	5496	13263
293	5516	13248
294	5536	13231
295	5555	13212
296	5574	13195
297	5594	13178
298	5616	13168
299	5636	13151
300	5654	13130
301	5668	13102
302	5683	13073
303	5697	13045
304	5709	13010
305	5725	12985
306	5740	12958
307	5761	12943
308	5775	12915
309	5798	12905
310	5817	12887
311	5840	12879
312	5854	12850
313	5872	12830
314	5886	12801
315	5911	12796
316	5925	12766
317	5953	12767
318	5983	12773
319	6033	12820
320	6055	12808
321	6081	12804
322	6119	12825
323	6159	12850
324	6185	12846
325	6225	12871
326	6256	12877
327	6275	12857
328	6296	12842
329	6316	12823
330	6332	12798
331	6349	12775
332	6366	12751
333	6383	12728
334	6397	12699
335	6412	12671
336	6434	12658
337	6450	12633
338	6469	12614
339	6482	12584
340	6500	12562
341	6519	12544
342	6536	12519
343	6549	12490
344	6578	12489
345	6595	12467
346	6618	12455
347	6638	12437
348	6654	12412
349	6673	12393
350	6690	12371
351	6706	12346
352	6731	12337
353	6752	12322
354	6764	12291
355	6782	12268
356	6799	12246
357	6813	12218
358	6828	12192
359	6850	12178
360	6865	12152
