iter	RMSE
0	0.490780766
1	0.4855132981
2	0.4796924395
3	0.4744511567
4	0.4699364015
5	0.4657238913
6	0.4618909603
7	0.4582667145
8	0.4548944018
9	0.4522271114
10	0.4495020772
11	0.4465616546
12	0.4440801422
13	0.4421145542
14	0.4403233317
15	0.4386159887
16	0.4370333225
17	0.4355659211
18	0.4338646728
19	0.4324185016
20	0.4312394302
21	0.4301321866
22	0.4287136299
23	0.4272962172
24	0.4262539249
25	0.425277786
26	0.4240676153
27	0.4233302294
28	0.4229805621
29	0.4221921989
30	0.421398386
31	0.4203350525
32	0.4192530734
33	0.418173817
34	0.4174760325
35	0.4167663955
36	0.4159884004
37	0.4154076086
38	0.4148498065
39	0.4142411944
40	0.4137779118
41	0.4130677041
42	0.4126061581
43	0.4123316688
44	0.411829806
45	0.4114981921
46	0.410937895
47	0.4104068814
48	0.4099286048
49	0.409440383
50	0.4090328104
51	0.408601699
52	0.4080189769
53	0.4078076548
54	0.4074233173
55	0.4069037575
56	0.4065413474
57	0.4062432236
58	0.4059312871
59	0.4057595796
60	0.4053924021
61	0.4050584375
62	0.4047261734
63	0.4045821539
64	0.4042620514
65	0.4038725173
66	0.4035675467
67	0.4033904429
68	0.4031301545
69	0.4027194214
70	0.4024384514
71	0.4022443029
72	0.4020006626
73	0.4017774207
74	0.4013795253
75	0.4011288483
76	0.4009195383
77	0.4006369044
78	0.4003554818
79	0.4001331208
80	0.3998336856
81	0.3998040687
82	0.3996512217
83	0.3994044591
84	0.3992617406
85	0.3990281917
86	0.3989152589
87	0.398777936
88	0.3985600979
89	0.3984927009
90	0.3983579266
91	0.3981380441
92	0.3979680091
93	0.3978211693
94	0.3975831365
95	0.3972250023
96	0.3970398627
97	0.3968710648
98	0.3967664852
99	0.3966099701
100	0.3963992021
101	0.3962493777
102	0.3960489889
103	0.3959430004
104	0.395840932
105	0.3957422795
106	0.3956231155
107	0.3954507603
108	0.3953177378
109	0.3951219587
110	0.3949570243
111	0.3947852472
112	0.3946749676
113	0.3945892902
114	0.3944087328
115	0.3942687847
116	0.3941264762
117	0.3940218515
118	0.3938365274
119	0.3938225249
120	0.3936899313
121	0.3936851281
122	0.3935550523
123	0.3934369955
124	0.3932859691
125	0.3932059102
126	0.3930745897
127	0.3929282661
128	0.3926636764
129	0.3925515909
130	0.3923372831
131	0.3922722854
132	0.3921052792
133	0.3919772959
134	0.3918081694
135	0.39175017
136	0.3916109953
137	0.3915219329
138	0.3914441102
139	0.391311189
140	0.3911878481
141	0.391040621
142	0.3908749304
143	0.3907581184
144	0.3905953039
145	0.390478665
146	0.3903319941
147	0.3901576796
148	0.3900194803
149	0.3897838248
150	0.3895824557
151	0.3894850285
152	0.3893186371
153	0.3891991694
154	0.389152593
155	0.3890637016
156	0.3889069446
157	0.3887780279
158	0.3887331432
159	0.3886611801
160	0.3885361679
161	0.3883728944
162	0.3881356315
163	0.3880642981
164	0.3879263353
165	0.3877507934
166	0.387651982
167	0.3875249873
168	0.3875176372
169	0.387410495
170	0.3873540963
171	0.3873037527
172	0.3872373393
173	0.3871092156
174	0.3870017588
175	0.3869422985
176	0.3868880394
177	0.3866326934
178	0.3865679363
179	0.3865321033
180	0.3865011985
181	0.3864222114
182	0.3863620731
183	0.3862529831
184	0.3861240673
185	0.3860392034
186	0.3859363288
187	0.3858396369
188	0.3857991178
189	0.3856692439
190	0.3856598161
191	0.385601472
192	0.3853926924
193	0.3852948959
194	0.3851521459
195	0.3850938407
196	0.3849861042
197	0.384830312
198	0.3848046438
199	0.3847188323
200	0.3846606396
201	0.3846089434
202	0.3845509072
203	0.3843434842
204	0.3842807439
205	0.3840945793
206	0.3840840907
207	0.3839446164
208	0.3839410367
209	0.3838760996
210	0.3837566605
211	0.383722766
212	0.3835681798
213	0.3834429882
214	0.3833780323
215	0.3831669166
216	0.3831412258
217	0.3831097916
218	0.3829574016
219	0.3827613677
220	0.3826952075
221	0.3826075328
222	0.3824678741
223	0.382322742
224	0.38215539
225	0.3819827305
226	0.3819117294
227	0.3818856912
228	0.3818543805
229	0.3817457105
230	0.3815943466
231	0.3815436558
232	0.3814568625
233	0.3813427732
234	0.381267896
235	0.3812195654
236	0.3810561906
237	0.3810524177
238	0.3808828693
239	0.380779766
240	0.3807213492
241	0.380501514
242	0.3804127489
243	0.380385078
244	0.3802696717
245	0.3802437797
246	0.3802368874
247	0.3801480687
248	0.3800497367
249	0.3799217406
250	0.37981719
251	0.3796763034
252	0.3795395653
253	0.3795092807
254	0.3793074444
255	0.379240874
256	0.3792055045
257	0.3791235389
258	0.3790569059
259	0.3789500442
260	0.378919491
261	0.378807421
262	0.3787941508
263	0.3787012445
264	0.3785406962
265	0.3783544883
266	0.3782618161
267	0.3782037234
268	0.3779038252
269	0.377825512
270	0.3778235102
271	0.3778018164
272	0.3776566703
273	0.3776227113
274	0.3774359434
275	0.377240615
276	0.3771296336
277	0.3770750384
278	0.3768822529
279	0.376800057
280	0.3766300016
281	0.3765387162
282	0.3764075037
283	0.3763405871
284	0.376250159
285	0.3761655482
286	0.3759762515
287	0.3759458079
288	0.3759286239
289	0.3758342123
290	0.3757593265
291	0.375757724
292	0.3756744626
293	0.3756575092
294	0.3755910141
295	0.3755157164
296	0.3753583665
297	0.3753167104
298	0.3752450135
299	0.3751957918
300	0.3750868116
301	0.3750201993
302	0.3749822748
303	0.3749406869
304	0.374822052
305	0.3748188887
306	0.3747472282
307	0.3746150837
308	0.3745575168
309	0.3744792553
310	0.3744779668
311	0.374402548
312	0.3742815434
313	0.3741963304
314	0.374168833
315	0.3740822173
316	0.3740050338
317	0.3738609179
318	0.3737135673
319	0.3736722843
320	0.3735673004
321	0.3735320087
322	0.373488621
323	0.3734747312
324	0.3733234417
325	0.3732129744
326	0.3731138659
327	0.3730336985
328	0.3729731757
329	0.3728268677
330	0.3727194457
331	0.3726733195
332	0.3726128935
333	0.3724369778
334	0.3724035857
335	0.3722688416
336	0.3722148919
337	0.3720913668
338	0.3720903954
339	0.3719285323
340	0.3717566208
341	0.3717100462
342	0.3716595399
343	0.3715586994
344	0.3714988417
345	0.3713788015
346	0.3713321278
347	0.3712527088
348	0.3712043108
349	0.3710194573
350	0.3709287153
351	0.3708308826
352	0.370786647
353	0.3707377818
354	0.370700294
355	0.3706668818
356	0.3705768087
357	0.3705415408
358	0.3704124493
359	0.370314769
360	0.3701930187
361	0.3701496419
362	0.3699567795
363	0.3699555653
364	0.3699223427
365	0.3697972863
366	0.3697705275
367	0.3697175
368	0.3696159673
369	0.3694920053
370	0.3693779606
371	0.3691598852
372	0.3690990737
373	0.368981807
374	0.3688925544
375	0.3688033491
376	0.3687787964
377	0.3686197902
378	0.3685095237
379	0.368475814
380	0.3683461021
381	0.3682659524
382	0.368151471
383	0.3680583207
384	0.3679698401
