iter	RMSE
0	0.4907594574
1	0.4845914864
2	0.4788093569
3	0.473668524
4	0.4691541887
5	0.4650846964
6	0.4610983339
7	0.457737475
8	0.4545618991
9	0.4516374937
10	0.4490442381
11	0.4461132514
12	0.4435577435
13	0.441189406
14	0.4389360355
15	0.4369564359
16	0.4357783715
17	0.4342309387
18	0.432973652
19	0.4314580181
20	0.4300615715
21	0.4283987051
22	0.4273888807
23	0.4260195407
24	0.4250663568
25	0.4239768295
26	0.4230429996
27	0.4220033014
28	0.4208288736
29	0.4197290852
30	0.4184999607
31	0.4176067156
32	0.4168122393
33	0.416115405
34	0.4154676062
35	0.4148664926
36	0.4140958296
37	0.4135399034
38	0.4130071242
39	0.4125711282
40	0.4118344809
41	0.4113897585
42	0.4108318543
43	0.4104228707
44	0.4100242732
45	0.4096692754
46	0.409194957
47	0.4087195092
48	0.4081911156
49	0.4079148485
50	0.4075096593
51	0.4071627344
52	0.4068029001
53	0.4063598797
54	0.4060076047
55	0.4057288023
56	0.4053571509
57	0.4050671665
58	0.4046849686
59	0.4045131846
60	0.404345682
61	0.4040540983
62	0.4036098782
63	0.4034179806
64	0.4031715471
65	0.4028933131
66	0.4027233711
67	0.4025210602
68	0.4022324958
69	0.4019937292
70	0.4017748228
71	0.4015893832
72	0.4014573983
73	0.4012293215
74	0.4008949037
75	0.4007540019
76	0.4006615145
77	0.4003791847
78	0.4001147212
79	0.3999132112
80	0.3996891979
81	0.3993486673
82	0.3990874523
83	0.3989360662
84	0.3986772424
85	0.3985159114
86	0.3983972328
87	0.3982748896
88	0.3980733776
89	0.3979999635
90	0.39776374
91	0.3976724909
92	0.3975628565
93	0.3974457545
94	0.3973643143
95	0.3972012434
96	0.3970468225
97	0.3969632696
98	0.396816444
99	0.3966606821
100	0.3966067763
101	0.3963911821
102	0.3962547801
103	0.3961318822
104	0.3959692601
105	0.3957979323
106	0.3955891243
107	0.3955266637
108	0.3953488766
109	0.3951462312
110	0.39500327
111	0.3948998334
112	0.3947359912
113	0.3946492834
114	0.3945607067
115	0.394372679
116	0.3941951834
117	0.3940251707
118	0.3938136452
119	0.3936334213
120	0.393533876
121	0.3934141178
122	0.3932664603
123	0.3931424642
