iter	Passed	Remaining
0	4	4544
1	10	5271
2	14	4669
3	18	4583
4	23	4595
5	28	4764
6	32	4617
7	36	4561
8	41	4605
9	47	4722
10	52	4757
11	57	4733
12	62	4725
13	66	4694
14	70	4652
15	74	4598
16	79	4600
17	83	4556
18	88	4578
19	92	4520
20	97	4551
21	103	4583
22	108	4605
23	112	4577
24	116	4535
25	120	4524
26	126	4546
27	130	4527
28	135	4542
29	142	4606
30	146	4579
31	151	4577
32	155	4563
33	161	4576
34	165	4575
35	171	4591
36	176	4595
37	181	4593
38	185	4582
39	191	4598
40	196	4603
41	201	4594
42	206	4605
43	212	4622
44	217	4620
45	223	4631
46	228	4631
47	233	4638
48	239	4641
49	244	4651
50	249	4649
51	255	4663
52	261	4669
53	266	4665
54	270	4655
55	275	4646
56	280	4639
57	285	4638
58	291	4641
59	296	4639
60	301	4641
61	305	4622
62	310	4618
63	314	4606
64	318	4585
65	323	4584
66	327	4564
67	331	4547
68	337	4547
69	341	4535
70	346	4535
71	350	4522
72	356	4525
73	361	4524
74	366	4520
75	370	4500
76	373	4480
77	379	4486
78	384	4478
79	390	4489
80	395	4482
81	400	4480
82	403	4462
83	409	4462
84	414	4458
85	419	4458
86	424	4454
87	429	4451
88	435	4462
89	440	4452
90	445	4447
91	449	4437
92	454	4435
93	459	4432
94	465	4435
95	470	4431
96	476	4435
97	480	4421
98	485	4419
99	491	4421
100	496	4420
101	501	4416
102	506	4409
103	511	4406
104	516	4402
105	521	4400
106	526	4393
107	531	4390
108	536	4389
109	542	4388
110	547	4387
111	552	4380
112	556	4367
113	561	4361
114	565	4353
115	570	4348
116	575	4343
117	580	4336
118	588	4354
119	593	4350
120	598	4346
121	603	4342
122	608	4336
123	612	4327
124	616	4318
125	623	4324
126	628	4318
127	633	4318
128	639	4317
129	644	4313
130	648	4305
131	653	4296
132	658	4290
133	663	4288
134	668	4283
135	674	4282
136	679	4281
137	684	4276
138	690	4276
139	695	4270
140	699	4262
141	704	4259
142	710	4256
143	715	4250
144	720	4245
145	725	4243
146	729	4233
147	735	4232
148	740	4230
149	746	4228
150	750	4222
151	756	4221
152	761	4217
153	765	4207
154	771	4204
155	776	4198
156	780	4192
157	786	4188
158	791	4188
159	796	4183
160	801	4178
161	807	4175
162	812	4170
163	816	4163
164	821	4155
165	826	4154
166	832	4152
167	837	4145
168	842	4141
169	846	4132
170	851	4128
171	857	4127
172	864	4134
173	869	4128
174	875	4127
175	880	4121
176	884	4111
177	889	4105
178	893	4098
179	898	4093
180	903	4089
181	908	4084
182	913	4078
183	918	4072
184	922	4065
185	927	4060
186	932	4054
187	939	4055
188	944	4052
189	948	4044
190	953	4040
191	958	4035
192	962	4025
193	966	4016
194	971	4009
195	975	4001
196	979	3993
197	984	3988
198	991	3989
199	996	3987
200	1001	3982
201	1007	3978
202	1012	3973
203	1015	3964
204	1020	3958
205	1025	3952
206	1030	3948
207	1035	3943
208	1040	3937
209	1047	3939
210	1051	3933
211	1055	3925
212	1060	3919
213	1066	3915
214	1071	3911
215	1075	3905
216	1080	3899
217	1085	3893
218	1091	3892
219	1096	3887
220	1100	3879
221	1105	3875
222	1110	3870
223	1116	3869
224	1121	3862
225	1125	3856
226	1131	3851
227	1136	3848
228	1141	3842
229	1146	3837
230	1151	3833
231	1156	3827
232	1162	3825
233	1166	3819
234	1172	3815
235	1177	3812
236	1182	3807
237	1187	3800
238	1192	3795
239	1196	3790
240	1201	3783
241	1206	3778
242	1211	3772
243	1216	3767
244	1220	3762
245	1226	3759
246	1231	3755
247	1238	3755
248	1242	3748
249	1247	3743
250	1252	3738
251	1257	3733
252	1262	3728
253	1267	3722
254	1272	3717
255	1278	3715
256	1284	3712
257	1290	3710
258	1295	3707
259	1301	3703
